id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,conversation_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_nikke_vesti_01_1,d_nikke_vesti_01,Narration,Locale_NikkeEpisode:d_nikke_vesti_01_1,False,CommanderRoom,4,13,1.0,bgm_story_languor,,,,,,,,,,,,,,
d_nikke_vesti_01_2,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_2,False,,13,13,1.0,,tabletspeaker,,,,,,,,,,,,,
d_nikke_vesti_01_3,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_3,False,,13,130,1.0,,tabletspeaker,,,,,,,,,,,,,
d_nikke_vesti_01_4,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_4,False,,130,130,1.0,,tabletspeaker,,,,,,,,,,,,,
d_nikke_vesti_01_5,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_5,False,,130,130,1.0,,tabletspeaker,anis,3,void,,,,,,,,,,
d_nikke_vesti_01_6,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_6,True,,130,30,1.0,,anis,,3,void,anis,,,,,,,,,
d_nikke_vesti_01_7,d_nikke_vesti_01,Choice,Locale_NikkeEpisode:d_nikke_vesti_01_7,False,,30,30,1.0,,,,3,void,anis,d_nikke_vesti_01_9,,,,,,,,
d_nikke_vesti_01_8,d_nikke_vesti_01,Choice,Locale_NikkeEpisode:d_nikke_vesti_01_8,False,,30,30,1.0,,,,3,void,anis,d_nikke_vesti_01_10,,,,,,,,
d_nikke_vesti_01_9,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_9,True,,30,30,1.0,,anis,,3,no,anis,d_nikke_vesti_01_11,,,,,,,,
d_nikke_vesti_01_10,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_10,True,,30,30,1.0,,anis,,3,idle,anis,d_nikke_vesti_01_11,,,,,,,,
d_nikke_vesti_01_11,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_11,True,,30,130,1.0,,tabletspeaker,,3,idle,anis,,,,,,,,,
d_nikke_vesti_01_12,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_12,True,,130,130,1.0,,tabletspeaker,,3,idle,anis,,,,,,,,,
d_nikke_vesti_01_13,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_13,True,,130,130,1.0,,tabletspeaker,,3,idle,anis,,neon,5,delight,,,,,
d_nikke_vesti_01_14,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_14,True,,130,S_50,1.0,,neon,,3,idle,neon,,,5,delight,,,,,
d_nikke_vesti_01_15,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_15,True,,S_50,53,0.5,,anis,,3,void,anis,,,5,delight,,,,,
d_nikke_vesti_01_16,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_16,True,,53,53,1.0,,neon,,3,void,neon,,,5,no,,,,,
d_nikke_vesti_01_17,d_nikke_vesti_01,Narration,Locale_NikkeEpisode:d_nikke_vesti_01_17,False,,53,15,1.0,,,,3,void,neon,,,5,no,m_nikke_vesti_01,sfx_scn_phonevibration,,,
d_nikke_vesti_01_18,d_nikke_vesti_01,Speech,Locale_NikkeEpisode:d_nikke_vesti_01_18,True,,15,15,1.0,,tabletspeaker,,3,idle,neon,,,5,idle,,,,,
