id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
treasurestory_miranda_04_1,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_1,True,Park,1,1,1.0,bgm_story_tuffguys,,novel,2,idle,,miranda,12,angry
treasurestory_miranda_04_2,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_2,True,,1,1,1.0,,,,2,idle,,,12,angry
treasurestory_miranda_04_3,treasurestory_miranda_04,Speech,novel,novel,Locale_NikkeEpisode:treasurestory_miranda_04_3,True,,1,1,1.0,,,,2,delight,,,12,angry
treasurestory_miranda_04_4,treasurestory_miranda_04,Speech,novel,novel,Locale_NikkeEpisode:treasurestory_miranda_04_4,True,,1,1,1.0,,,,2,delight,,,12,angry
treasurestory_miranda_04_5,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_5,False,,1,S_120,1.3,,,,2,delight,novel,,12,angry
treasurestory_miranda_04_6,treasurestory_miranda_04,Self,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_6,False,,S_120,S_120,1.0,,,,,,,,12,angry
treasurestory_miranda_04_7,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_7,True,,S_120,S_120,1.0,,,,,,,,12,angry
treasurestory_miranda_04_8,treasurestory_miranda_04,Monologue,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_8,False,,S_120,S_120,1.0,,,,,,,,12,angry
treasurestory_miranda_04_9,treasurestory_miranda_04,Monologue,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_9,False,,S_120,S_120,1.0,,,,,,,,12,angry
treasurestory_miranda_04_10,treasurestory_miranda_04,Monologue,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_10,False,,S_120,S_120,1.0,,,,,,,,12,angry
treasurestory_miranda_04_11,treasurestory_miranda_04,Monologue,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_11,False,,S_120,S_120,1.0,,,,,,,,12,angry
treasurestory_miranda_04_12,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_12,True,,S_120,S_1200,0.75,none,,,,,,,12,angry
treasurestory_miranda_04_13,treasurestory_miranda_04,Self,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_13,False,,S_1200,S_1200,1.0,,,,,,,,12,angry
treasurestory_miranda_04_14,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_14,True,,S_1200,S_1200,1.0,,,,,,,,12,angry
treasurestory_miranda_04_15,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_15,True,,S_1200,S_1200,1.0,,,,,,,,12,angry
treasurestory_miranda_04_16,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_16,True,,S_1200,S_1200,1.0,,,,,,,,12,angry
treasurestory_miranda_04_17,treasurestory_miranda_04,Speech,miranda,miranda,Locale_NikkeEpisode:treasurestory_miranda_04_17,True,,S_1200,S_1200,1.0,,,,,,,,12,angry
treasurestory_miranda_04_18,treasurestory_miranda_04,Self,miranda,,Locale_NikkeEpisode:treasurestory_miranda_04_18,False,,S_1200,S_1200,1.0,,,,,,,,12,angry
