id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/1/hide_char_id,characters/0/hide_char_id
d_nikke_ce004_02_01_1,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_1,True,ce004_02_s,12,idle,ein,2,no,Classroom,1,1,1.0,bgm_story_backtonormal,,,
d_nikke_ce004_02_01_2,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_2,True,,12,idle,,2,no,,1,1,1.0,,,,
d_nikke_ce004_02_01_3,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_3,False,,12,idle,,2,no,,1,1,1.0,,,,
d_nikke_ce004_02_01_4,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_4,True,,12,idle,,2,no,,1,1,1.0,,,,
d_nikke_ce004_02_01_5,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_5,True,,12,idle,,2,no,,1,1,1.0,,,,
d_nikke_ce004_02_01_6,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_6,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_7,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_7,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_8,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_8,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_9,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_9,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_10,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_10,True,,12,idle,,2,no,,1,20,1.0,,,,
d_nikke_ce004_02_01_11,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_11,True,,12,idle,,2,no,,20,20,1.0,,,,
d_nikke_ce004_02_01_12,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_12,True,,12,idle,,2,idle,,20,20,1.0,,,,
d_nikke_ce004_02_01_13,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_13,True,,12,idle,,2,idle,,20,20,1.0,,,,
d_nikke_ce004_02_01_14,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_14,True,,12,idle,,2,idle,,20,20,1.0,,,,
d_nikke_ce004_02_01_15,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_15,True,,12,idle,,2,idle,,20,1,1.0,,,,
d_nikke_ce004_02_01_16,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_16,True,,12,idle,,2,delight,,1,1,1.0,,,,
d_nikke_ce004_02_01_17,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_17,True,,12,idle,,2,delight,,1,1,1.0,,,,
d_nikke_ce004_02_01_18,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_18,True,,12,idle,,2,delight,,1,1,1.0,,,,
d_nikke_ce004_02_01_19,d_nikke_ce004_02_01,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_01_19,False,,12,idle,,2,delight,,1,1,1.0,,,,
d_nikke_ce004_02_01_20,d_nikke_ce004_02_01,Monologue,ce004_02_s,,Locale_NikkeEpisode:d_nikke_ce004_02_01_20,False,,12,idle,,2,delight,,1,1,1.0,,,,
d_nikke_ce004_02_01_22,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_22,True,,12,idle,,2,surprise,City_d,1,1,1.0,bgm_story_orangepop,black,,
d_nikke_ce004_02_01_23,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_23,True,,12,idle,,2,surprise,,1,1,1.0,,,,
d_nikke_ce004_02_01_24,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_24,True,,12,idle,,2,surprise,,1,1,1.0,,,,
