id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_camera_shake,set_filter_01,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,jump_target,characters/4/hide_char_id,conversation_id,fade
d_nikke_emma_01_1,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_1,False,black,black,1.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_2,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_2,False,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_3,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_3,True,9,90,0.5,,neon,neon,neon,9,no,WasteLand_02,Low_2,Grey,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_4,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_4,False,90,90,1.0,,neon,,,9,no,,Low_2,Grey,sfx_scn_smash,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_5,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_5,True,90,70,0.3,,maxwell,maxwell,,9,no,,,Grey,,maxwell,7,delight,,,,,,,,,,,,,,,,,
d_nikke_emma_01_6,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_6,True,70,30,0.5,,eunhwa,eunhwa,,9,no,,,Grey,,,7,delight,neon,eunhwa,3,angry,,,,,,,,,,,,,
d_nikke_emma_01_7,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_7,True,30,50,0.5,,exia,exia,,,,,,Grey,,,7,delight,,,3,angry,maxwell,exia,5,good,,,,,,,,,
d_nikke_emma_01_8,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_8,False,50,120,0.5,,,,,,,,Low_2,Grey,sfx_scn_whip,,,,,,3,angry,,,5,good,eunhwa,yuni,12,shy,,,,,
d_nikke_emma_01_9,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_9,True,120,120,1.0,,yuni,yuni,,,,,,Grey,,,,,,,,,,,5,good,,,12,shy,exia,,,,
d_nikke_emma_01_10,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_10,False,120,120,1.0,,yuni,,,,,,,Grey,,,,,,,,,,,,,,,12,shy,,d_nikke_emma_01_12,,,
d_nikke_emma_01_11,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_11,False,120,120,1.0,,yuni,,,,,,,Grey,,,,,,,,,,,,,,,12,shy,,d_nikke_emma_01_15,,,
d_nikke_emma_01_12,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_12,True,120,120,1.0,,yuni,yuni,,,,,,Grey,,,,,,,,,,,,,,,12,shy,,,,,
d_nikke_emma_01_13,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_13,True,120,120,1.0,,yuni,yuni,,,,,,Grey,,,,,,,,,,,,,,,12,shy,,,,,
d_nikke_emma_01_14,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_14,True,120,S_1200,1.0,,yuni,yuni,,,,,,Grey,,,,,,,,,,,,,,,12,shy,,d_nikke_emma_01_18,,,
d_nikke_emma_01_15,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_15,True,120,S_1200,1.0,,yuni,yuni,,,,,,Grey,,,,,,,,,,,,,,,12,shy,,,,,
d_nikke_emma_01_16,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_16,True,S_1200,1214,1.0,,mihara,mihara,mihara,14,shy,,,Grey,,,,,,,,,,,,,,,12,shy,,,,,
d_nikke_emma_01_17,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_17,True,1214,1214,1.0,,mihara,mihara,,14,shy,,,Grey,,,,,,,,,,,,,,,12,shy,,,,,
d_nikke_emma_01_18,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_18,False,black,black,1.0,,mihara,,,14,shy,,,Grey,sfx_scn_phonevibration,,,,mihara,,,,,,,,,,12,shy,,,yuni,m_nikke_emma_01_01,
d_nikke_emma_01_19,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_19,False,1,1,1.0,bgm_story_backtonormal,,,,,,CommanderRoom,Low_2,Blur_Middle,,,,,,,,,,,,,,,,,,,,,black
d_nikke_emma_01_20,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_20,False,1,1,1.0,,,,,,,,,Blur_Low,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_21,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_21,False,1,1,1.0,,,,,,,,,Blur_Low,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_22,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_22,False,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_23,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_23,False,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_24,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_24,False,1,1,1.0,,,,,,,,,,sfx_scn_knock,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_25,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_25,True,1,1,1.0,,unknown,unknown,,,,,,,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_26,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_26,True,1,1,1.0,,emma,emma,emma,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_27,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_27,True,1,10,1.0,,emma,emma,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_28,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_28,True,10,10,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_29,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_29,True,10,10,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_30,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_30,False,10,10,1.0,,emma,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_31,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_31,True,10,10,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_32,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_32,True,10,10,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_33,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_33,True,10,10,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_34,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_34,True,10,10,1.0,,emma,emma,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_35,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_35,True,10,10,1.0,,emma,emma,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_36,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_36,False,10,10,1.0,,emma,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_37,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_37,True,10,10,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_38,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_38,True,10,150,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_40,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_40,True,150,150,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_41,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_41,True,150,150,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_42,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_42,True,150,150,0.5,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_43,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_43,True,150,150,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_44,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_44,False,150,15,0.5,,emma,,,1,idle,,Low_2,,sfx_scn_glassbreak,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_45,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_45,True,15,15,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_46,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_46,False,15,15,1.0,,emma,,,1,idle,,Low_2,,sfx_scn_smash,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_47,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_47,False,15,15,1.0,,emma,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_48,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_48,True,15,1,2.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
