id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
d_nikke_marciana_03_1,d_nikke_marciana_03,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_03_1,True,marciana,13,surprise,OutpostOut,13,130,1.0,bgm_story_fairytalesend_if,,,,,,
d_nikke_marciana_03_2,d_nikke_marciana_03,Self,,,Locale_NikkeEpisode:d_nikke_marciana_03_2,False,,13,surprise,,130,130,1.0,,,,,,,
d_nikke_marciana_03_3,d_nikke_marciana_03,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_03_3,True,,13,surprise,,130,130,1.0,,,,,,,
d_nikke_marciana_03_4,d_nikke_marciana_03,Self,,,Locale_NikkeEpisode:d_nikke_marciana_03_4,False,,13,surprise,,130,130,1.0,,,,,,,
d_nikke_marciana_03_5,d_nikke_marciana_03,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_03_5,True,,13,surprise,,130,130,1.0,,,,,,,
d_nikke_marciana_03_6,d_nikke_marciana_03,Self,,,Locale_NikkeEpisode:d_nikke_marciana_03_6,False,,13,surprise,,130,130,1.0,none,,,,,,
d_nikke_marciana_03_7,d_nikke_marciana_03,Narration,,,Locale_NikkeEpisode:d_nikke_marciana_03_7,False,,13,surprise,MaidCafe,130,5,1.0,,sfx_scn_toyshopbell,,,,,
d_nikke_marciana_03_8,d_nikke_marciana_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_marciana_03_8,True,,13,surprise,,5,5,1.0,bgm_story_orangepop,,cocoa,5,idle,,
d_nikke_marciana_03_9,d_nikke_marciana_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_marciana_03_9,True,,13,surprise,,5,XS_50,1.0,,,,5,surprised,,
d_nikke_marciana_03_10,d_nikke_marciana_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_marciana_03_10,True,,13,surprise,,XS_50,XS_50,1.0,,,,5,surprised,,
d_nikke_marciana_03_11,d_nikke_marciana_03,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_marciana_03_11,True,,13,surprise,,XS_50,XS_50,1.0,,,,5,surprised,,
