id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,set_filter_01,jump_target,fade
d_nikke_jackal_04_1,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_1,True,jackal,1,idle,Restaurant,5,1,2.0,bgm_story_whosdumber,,,,,,,,
d_nikke_jackal_04_2,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_2,True,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_3,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_3,False,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_4,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_4,True,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_5,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_5,False,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_6,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_6,False,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_7,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_7,True,,1,no,,1,S_10,2.0,,,,,,,,,
d_nikke_jackal_04_8,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_8,False,,1,no,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_9,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_9,False,,1,no,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_10,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_10,False,,1,no,,S_10,S_100,2.0,,,,,,,,,
d_nikke_jackal_04_11,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_11,True,,1,think,,S_100,1,0.5,,,,,,,,,
d_nikke_jackal_04_12,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_12,True,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_13,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_13,False,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_14,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_14,True,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_15,d_nikke_jackal_04,Monologue,,,Locale_NikkeEpisode:d_nikke_jackal_04_15,False,,1,think,,black,black,1.0,,,,,,,,,
d_nikke_jackal_04_16,d_nikke_jackal_04,Speech,employee2,employee2,Locale_NikkeEpisode:d_nikke_jackal_04_16,True,,1,think,,31,31,1.0,,employee2,3,idle,,,,,
d_nikke_jackal_04_17,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_17,True,,1,angry,,31,31,1.0,,,3,idle,,,,,
d_nikke_jackal_04_18,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_18,True,,1,no,,31,31,1.0,,,3,idle,,,,,
d_nikke_jackal_04_19,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_19,True,,1,no,,31,S_10,1.0,,,3,idle,,,,,
d_nikke_jackal_04_20,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_20,False,,1,no,,S_10,S_10,1.0,,,3,idle,,,,,
d_nikke_jackal_04_21,d_nikke_jackal_04,Speech,employee2,employee2,Locale_NikkeEpisode:d_nikke_jackal_04_21,True,,1,no,,S_10,31,1.0,,,3,idle,,,,,
d_nikke_jackal_04_22,d_nikke_jackal_04,Speech,employee2,employee2,Locale_NikkeEpisode:d_nikke_jackal_04_22,True,,1,no,,31,31,1.0,,,3,idle,,,,,
d_nikke_jackal_04_23,d_nikke_jackal_04,Monologue,,,Locale_NikkeEpisode:d_nikke_jackal_04_23,False,,1,no,,31,31,1.0,,,3,idle,employee2,,,,
d_nikke_jackal_04_24,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_24,True,,1,think,,31,1,1.0,,,,,,,,,
d_nikke_jackal_04_25,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_25,True,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_26,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_26,False,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_27,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_27,True,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_28,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_28,True,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_29,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_29,True,,1,think,,1,1,1.0,,,,,,,,,
d_nikke_jackal_04_30,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_30,True,,1,think,,1,S_10,2.0,,,,,,,,,
d_nikke_jackal_04_31,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_31,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_32,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_32,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_33,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_33,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_34,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_34,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_35,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_35,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_36,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_36,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_37,d_nikke_jackal_04,Speech,jackal,jackal,Locale_NikkeEpisode:d_nikke_jackal_04_37,True,,1,think,,S_10,S_10,1.0,,,,,,,,,
d_nikke_jackal_04_38,d_nikke_jackal_04,Self,,,Locale_NikkeEpisode:d_nikke_jackal_04_38,False,,1,think,,S_10,S_10,1.0,,,,,,,,,
