id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_guilty_01_1,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_1,True,JailCorridor,1,10,2.0,bgm_story_fairytalesend_if,,,mana,1,idle,
d_nikke_guilty_01_2,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_2,True,,10,10,1.0,,,,,1,idle,
d_nikke_guilty_01_3,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_3,True,,10,100,2.0,,,,,1,idle,
d_nikke_guilty_01_4,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_4,True,,100,100,1.0,,,,,1,idle,
d_nikke_guilty_01_5,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_5,True,,100,100,1.0,,,,,1,idle,
d_nikke_guilty_01_6,d_nikke_guilty_01,Choice,mana,,Locale_NikkeEpisode:d_nikke_guilty_01_6,False,,100,100,1.0,,d_nikke_guilty_01_8,,,1,idle,
d_nikke_guilty_01_7,d_nikke_guilty_01,Choice,mana,,Locale_NikkeEpisode:d_nikke_guilty_01_7,False,,100,100,1.0,,d_nikke_guilty_01_10,,,1,idle,
d_nikke_guilty_01_8,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_8,True,,100,10,2.0,,,,,1,idle,
d_nikke_guilty_01_9,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_9,True,,10,10,1.0,,d_nikke_guilty_01_14,,,1,idle,
d_nikke_guilty_01_10,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_10,True,,100,100,1.0,,,,,1,idle,
d_nikke_guilty_01_11,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_11,True,,100,100,1.0,,,,,1,idle,
d_nikke_guilty_01_12,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_12,True,,100,10,0.5,,,,,1,idle,
d_nikke_guilty_01_13,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_13,True,,10,10,1.0,,d_nikke_guilty_01_14,,,1,idle,
d_nikke_guilty_01_14,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_14,True,,10,10,1.0,,,,,1,idle,
d_nikke_guilty_01_15,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_15,True,,10,10,1.0,,,,,1,idle,
d_nikke_guilty_01_16,d_nikke_guilty_01,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_guilty_01_16,True,,10,10,1.0,,,,,1,idle,
d_nikke_guilty_01_17,d_nikke_guilty_01,Self,mana,,Locale_NikkeEpisode:d_nikke_guilty_01_17,False,,10,10,1.0,,,,,1,idle,
