id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_bgm,play_sound,set_camera_shake,conversation_id
treasurestory_frima_04_1,treasurestory_frima_04,Monologue,Locale_NikkeEpisode:treasurestory_frima_04_1,False,Police,black,black,1.0,,,,,,,,,,,,
treasurestory_frima_04_2,treasurestory_frima_04,Monologue,Locale_NikkeEpisode:treasurestory_frima_04_2,False,,black,black,1.0,,,,,,,,,,,,
treasurestory_frima_04_3,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_3,True,,XS_20,XS_20,1.0,poli,poli,poli,2,idle,frima,12,idle,bgm_story_orangepop,,,
treasurestory_frima_04_4,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_4,True,,XS_20,XS_20,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_5,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_5,True,,XS_20,1,1.0,frima,frima,,2,idle,,12,idle,,,,
treasurestory_frima_04_6,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_6,True,,1,1,1.0,poli,poli,,2,sad,,12,idle,,,,
treasurestory_frima_04_7,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_7,False,,1,1,1.0,poli,,,2,sad,,12,idle,,,,
treasurestory_frima_04_8,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_8,False,,1,1,1.0,frima,frima,,2,sad,,12,idle,,,,
treasurestory_frima_04_9,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_9,True,,1,1,1.0,poli,poli,,2,sad,,12,idle,,,,
treasurestory_frima_04_10,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_10,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_11,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_11,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_12,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_12,True,,1,1,1.0,frima,frima,,2,idle,,12,idle,,,,
treasurestory_frima_04_13,treasurestory_frima_04,Monologue,Locale_NikkeEpisode:treasurestory_frima_04_13,False,,1,1,1.0,frima,,,2,idle,,12,delight,,,,
treasurestory_frima_04_14,treasurestory_frima_04,Narration,Locale_NikkeEpisode:treasurestory_frima_04_14,False,,1,1,1.0,frima,,,2,idle,,12,delight,,sfx_scn_sponge,,
treasurestory_frima_04_15,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_15,False,,1,120,1.0,frima,frima,,2,idle,,12,surprise,,,Low_2,
treasurestory_frima_04_16,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_16,False,,120,120,1.0,frima,,,2,idle,,12,surprise,,,,
treasurestory_frima_04_17,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_17,True,,120,120,1.0,frima,frima,,2,idle,,12,surprise,,,,
