id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id
d_nikke_flora_01_1,d_nikke_flora_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_flora_01_1,False,Cafe,13,13,1.0,sfx_scn_remotesignal,none,,,,,,,,,,
d_nikke_flora_01_2,d_nikke_flora_01,Speech,femaleemployee,Locale_NikkeEpisode:d_nikke_flora_01_2,True,,13,13,1.0,,bgm_story_orangepop,femaleemployee,,,,,,,,,
d_nikke_flora_01_3,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_3,False,,13,13,1.0,,,,,,,,,,,,
d_nikke_flora_01_4,d_nikke_flora_01,Speech,femaleemployee,Locale_NikkeEpisode:d_nikke_flora_01_4,True,,13,13,1.0,,,femaleemployee,,,,,,,,,
d_nikke_flora_01_5,d_nikke_flora_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_flora_01_5,False,,13,13,1.0,sfx_scn_autodooropen,,,,,,,,,,,
d_nikke_flora_01_6,d_nikke_flora_01,Speech,femaleemployee,Locale_NikkeEpisode:d_nikke_flora_01_6,True,,13,13,1.0,,,femaleemployee,unknown_flora,5,idle,,,,,,
d_nikke_flora_01_7,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_7,True,,13,5,1.0,,,unknown_flora,,5,surprise,,,,,,
d_nikke_flora_01_8,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_8,True,,5,5,1.0,,,unknown_flora,,5,idle,,,,,,
d_nikke_flora_01_9,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_9,True,,5,5,1.0,,,unknown_flora,,5,idle,,,,,,
d_nikke_flora_01_10,d_nikke_flora_01,Speech,femaleemployee,Locale_NikkeEpisode:d_nikke_flora_01_10,False,,5,5,1.0,,,femaleemployee,,5,idle,unknown_flora,,,,,
d_nikke_flora_01_11,d_nikke_flora_01,Speech,femaleemployee,Locale_NikkeEpisode:d_nikke_flora_01_11,True,,5,5,1.0,,,femaleemployee,,,,,,,,,
d_nikke_flora_01_12,d_nikke_flora_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_flora_01_12,False,ShoppingMall,black,black,1.0,,,,,,,,rupee,15,idle,black,
d_nikke_flora_01_13,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_13,True,,15,15,1.0,,,rupee,,,,,,15,idle,,
d_nikke_flora_01_14,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_14,True,,15,15,1.0,,,rupee,,,,,,15,idle,,
d_nikke_flora_01_15,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_15,False,,15,15,1.0,,,,,,,,,15,idle,,
d_nikke_flora_01_16,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_16,True,,15,L_150,1.0,,,rupee,,,,,,15,surprise,,
d_nikke_flora_01_17,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_17,True,,L_150,L_150,1.0,,,rupee,,,,,,15,surprise,,
d_nikke_flora_01_18,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_18,True,,L_150,15,1.0,,,rupee,,,,,,15,idle,,
d_nikke_flora_01_19,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_19,False,,15,15,1.0,,,,,,,,,15,idle,,
d_nikke_flora_01_20,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_20,True,,15,15,1.0,,,rupee,,,,,,15,idle,,
d_nikke_flora_01_21,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_21,True,,15,15,1.0,,,rupee,,,,,,15,sad,,
d_nikke_flora_01_22,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_22,True,,15,15,1.0,,,rupee,,,,,,15,idle,,
d_nikke_flora_01_23,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_23,True,,15,15,1.0,,,rupee,,,,,,15,idle,,
d_nikke_flora_01_24,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_24,True,,15,14,1.0,,,unknown_flora,unknown_flora,13,surprise,,,15,idle,,
d_nikke_flora_01_25,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_25,True,,14,14,1.0,,,unknown_flora,,13,delight,,,15,idle,,
d_nikke_flora_01_26,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_26,True,,14,14,1.0,,,unknown_flora,,13,idle,,,15,idle,,
d_nikke_flora_01_27,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_27,True,,14,14,1.0,,,unknown_flora,,13,sad,,,15,idle,,
d_nikke_flora_01_28,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_28,True,,14,14,1.0,,,unknown_flora,,13,sad,,,15,idle,,
d_nikke_flora_01_29,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_29,True,,14,14,1.0,,,rupee,,13,sad,,,15,sad,,
d_nikke_flora_01_30,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_30,True,,14,14,1.0,,,rupee,,13,sad,,,15,sad,,
d_nikke_flora_01_31,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_31,True,,14,14,1.0,,,unknown_flora,,13,surprise,,,15,sad,,
d_nikke_flora_01_32,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_32,True,,14,14,1.0,,,unknown_flora,,13,idle,,,15,sad,,
d_nikke_flora_01_33,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_33,True,,14,L_150,1.0,,,rupee,,5,idle,,,15,surprise,,
d_nikke_flora_01_34,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_34,True,,L_150,L_150,1.0,,,rupee,,5,idle,,,15,surprise,,
d_nikke_flora_01_35,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_35,True,,L_150,L_150,1.0,,,rupee,,5,idle,,,15,sad,,
d_nikke_flora_01_36,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_36,True,,L_150,L_150,1.0,,,rupee,,5,idle,,,15,angry,,
d_nikke_flora_01_37,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_37,True,,L_150,15,0.5,,,rupee,,5,idle,,,15,surprise,,
d_nikke_flora_01_38,d_nikke_flora_01,Speech,rupee,Locale_NikkeEpisode:d_nikke_flora_01_38,True,,15,15,1.0,,,rupee,,5,idle,,,15,angry,,
d_nikke_flora_01_39,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_39,False,Park,1,1,1.0,,,,,5,idle,,,15,angry,black,rupee
d_nikke_flora_01_40,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_40,False,,1,1,1.0,,,unknown_flora,,5,idle,,,,,,
d_nikke_flora_01_41,d_nikke_flora_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_01_41,False,,1,1,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_42,d_nikke_flora_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_01_42,False,,1,1,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_43,d_nikke_flora_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_01_43,False,,1,1,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_44,d_nikke_flora_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_01_44,False,,1,1,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_45,d_nikke_flora_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_flora_01_45,False,,black,black,1.0,sfx_scn_comichit,,,,5,idle,,,,,,
d_nikke_flora_01_46,d_nikke_flora_01,Speech,unknown_flora,Locale_NikkeEpisode:d_nikke_flora_01_46,True,,1,10,1.0,,,unknown_flora,,5,surprise,,,,,,
d_nikke_flora_01_47,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_47,False,,10,10,1.0,,,,,5,surprise,,,,,,
d_nikke_flora_01_48,d_nikke_flora_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_01_48,False,,10,10,1.0,,,,,5,idle,unknown_flora,,,,,
d_nikke_flora_01_49,d_nikke_flora_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_01_49,False,,10,1,1.0,,,,flora,5,idle,,,,,,
d_nikke_flora_01_50,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_50,True,,5,5,1.0,,,flora,,5,sad,,,,,,
d_nikke_flora_01_51,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_51,True,,5,5,1.0,,,flora,,5,sad,,,,,,
d_nikke_flora_01_52,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_52,False,,5,5,1.0,,,,,5,sad,,,,,,
d_nikke_flora_01_53,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_53,True,,5,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_54,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_54,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_55,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_55,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_56,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_56,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_57,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_57,False,,50,50,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_58,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_58,False,,50,50,1.0,,,flora,,5,idle,,,,,,
