id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,jump_target
d_nikke_ce005_02_01_1,d_nikke_ce005_02_01,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_01_1,False,EventScene_ACPUFreeze_01_bg,1,1,1.0,bgm_story_breakaway,,,,,,,
d_nikke_ce005_02_01_2,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_2,True,,1,1,1.0,,ce004_01,,,,,,
d_nikke_ce005_02_01_3,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_3,False,,1,1,1.0,,,,,,,,
d_nikke_ce005_02_01_4,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_4,True,,1,1,1.0,,ce004_01,,,,,,
d_nikke_ce005_02_01_5,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_5,True,,1,1,1.0,,ce004_01,,,,,,
d_nikke_ce005_02_01_6,d_nikke_ce005_02_01,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_01_6,False,ArkRuinIndoor,1,1,1.0,,,ce005_02,ce005_02,1,idle,black,
d_nikke_ce005_02_01_7,d_nikke_ce005_02_01,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_01_7,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_8,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_8,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_9,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_9,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_10,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_10,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_11,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_11,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_12,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_12,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_13,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_13,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_14,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_14,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_15,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_15,True,,1,1,1.0,,ce004_01,ce005_02,,1,think,,
d_nikke_ce005_02_01_16,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_16,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_17,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_17,False,,1,1,1.0,,,ce005_02,,1,idle,,
