id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,jump_target,characters/3/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_laplace_04_1,d_nikke_laplace_04,Narration,Locale_NikkeEpisode:d_nikke_laplace_04_1,False,CommanderRoom,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_nikke_laplace_04_2,d_nikke_laplace_04,Speech,Locale_NikkeEpisode:d_nikke_laplace_04_2,True,,1,1,1.0,,laplace,laplace,,,,,,,,,,,,,,,,,,,
d_nikke_laplace_04_3,d_nikke_laplace_04,Narration,Locale_NikkeEpisode:d_nikke_laplace_04_3,False,,1,1,1.0,,,,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,,
d_nikke_laplace_04_4,d_nikke_laplace_04,Speech,Locale_NikkeEpisode:d_nikke_laplace_04_4,True,,1,1,1.0,bgm_story_leisuretime,laplace,laplace,,laplace,1,idle,,,,,,,,,,,,,,,
d_nikke_laplace_04_5,d_nikke_laplace_04,Narration,Locale_NikkeEpisode:d_nikke_laplace_04_5,False,,1,S_10,1.0,,laplace,,,,1,idle,,,,,,,,,,,,,,,
d_nikke_laplace_04_6,d_nikke_laplace_04,Monologue,Locale_NikkeEpisode:d_nikke_laplace_04_6,False,,S_10,S_10,1.0,,laplace,,,,1,idle,,,,,,,,,,,,,,,
d_nikke_laplace_04_7,d_nikke_laplace_04,Self,Locale_NikkeEpisode:d_nikke_laplace_04_7,False,,S_10,S_10,1.0,,laplace,,,,1,idle,,,,,,,,,,,,,,,
d_nikke_laplace_04_8,d_nikke_laplace_04,Speech,Locale_NikkeEpisode:d_nikke_laplace_04_8,True,,S_10,S_10,1.0,,laplace,laplace,,,1,delight,,,,,,,,,,,,,,,
d_nikke_laplace_04_9,d_nikke_laplace_04,Narration,Locale_NikkeEpisode:d_nikke_laplace_04_9,False,,S_10,6017,1.0,,laplace,,,,1,delight,,,,,,,,,,,,,,,
d_nikke_laplace_04_10,d_nikke_laplace_04,Speech,Locale_NikkeEpisode:d_nikke_laplace_04_10,True,,6017,6017,1.0,,laplace,laplace,,,1,delight,,,,,,,,,,,,,,,
