id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_zwei_01_1,d_nikke_zwei_01,Monologue,Locale_NikkeEpisode:d_nikke_zwei_01_1,False,Classroom_e,7,7,1.0,none,,,,,,,,,,,,,,,
d_nikke_zwei_01_2,d_nikke_zwei_01,Narration,Locale_NikkeEpisode:d_nikke_zwei_01_2,False,,7,7,1.0,,sfx_scn_schoolbell,,,,,,,,,,,,,,
d_nikke_zwei_01_3,d_nikke_zwei_01,Self,Locale_NikkeEpisode:d_nikke_zwei_01_3,False,,7,7,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,
d_nikke_zwei_01_4,d_nikke_zwei_01,Self,Locale_NikkeEpisode:d_nikke_zwei_01_4,False,,7,7,1.0,,,,,,,,,,,,,,,,
d_nikke_zwei_01_5,d_nikke_zwei_01,Speech,Locale_NikkeEpisode:d_nikke_zwei_01_5,False,,7,7,1.0,,,students,,,,,,,,,,,,,
d_nikke_zwei_01_6,d_nikke_zwei_01,Self,Locale_NikkeEpisode:d_nikke_zwei_01_6,False,,7,13,1.0,,,,zwei,zwei,13,idle,,,,,,,,,
d_nikke_zwei_01_7,d_nikke_zwei_01,Speech,Locale_NikkeEpisode:d_nikke_zwei_01_7,True,,13,130,1.0,,,zwei,zwei,,13,surprise,,,,,,,,,
d_nikke_zwei_01_8,d_nikke_zwei_01,Speech,Locale_NikkeEpisode:d_nikke_zwei_01_8,True,SchoolCorridor_e,130,130,1.0,,,zwei,zwei,,13,idle,black,,,,,,,,
d_nikke_zwei_01_9,d_nikke_zwei_01,Self,Locale_NikkeEpisode:d_nikke_zwei_01_9,False,,130,130,1.0,,,,zwei,,13,idle,,,,,,,,,
d_nikke_zwei_01_10,d_nikke_zwei_01,Self,Locale_NikkeEpisode:d_nikke_zwei_01_10,False,,130,130,1.0,,,,zwei,,13,idle,,,,,,,,,
d_nikke_zwei_01_11,d_nikke_zwei_01,Speech,Locale_NikkeEpisode:d_nikke_zwei_01_11,True,,130,130,1.0,,,zwei,zwei,,13,shy,,,,,,,,,
d_nikke_zwei_01_12,d_nikke_zwei_01,Speech,Locale_NikkeEpisode:d_nikke_zwei_01_12,True,,130,130,1.0,,,zwei,zwei,,13,shy,,,,,,,,,
d_nikke_zwei_01_13,d_nikke_zwei_01,Speech,Locale_NikkeEpisode:d_nikke_zwei_01_13,True,,130,130,1.0,,,zwei,zwei,,13,shy,,,,,,,,,
d_nikke_zwei_01_14,d_nikke_zwei_01,Self,Locale_NikkeEpisode:d_nikke_zwei_01_14,False,,130,130,1.0,,,,zwei,,13,shy,,,,,,,,,
