id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,set_camera_shake,jump_target,characters/9/hide_char_id,conversation_id,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_dolla_02_1,d_nikke_dolla_02,Narration,Locale_NikkeEpisode:d_nikke_dolla_02_1,False,CommanderRoom,5,1,2.0,bgm_story_onlineshopping,,,,,,,,,,,,,,,
d_nikke_dolla_02_2,d_nikke_dolla_02,Monologue,Locale_NikkeEpisode:d_nikke_dolla_02_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_dolla_02_3,d_nikke_dolla_02,Speech,Locale_NikkeEpisode:d_nikke_dolla_02_3,True,,1,1,1.0,,shifty_c,shifty_c,shifty_c,OP_center,angry,,,,,,,,,,
d_nikke_dolla_02_4,d_nikke_dolla_02,Speech,Locale_NikkeEpisode:d_nikke_dolla_02_4,True,,1,1,1.0,,shifty_c,shifty_c,,OP_center,angry,,,,,,,,,,
d_nikke_dolla_02_5,d_nikke_dolla_02,Speech,Locale_NikkeEpisode:d_nikke_dolla_02_5,True,,1,1,1.0,,shifty_c,shifty_c,,OP_center,angry,Low_2,,,,,,,,,
d_nikke_dolla_02_6,d_nikke_dolla_02,Speech,Locale_NikkeEpisode:d_nikke_dolla_02_6,True,,1,1,1.0,,shifty_c,shifty_c,,OP_center,think,,,,,,,,,,
d_nikke_dolla_02_7,d_nikke_dolla_02,Speech,Locale_NikkeEpisode:d_nikke_dolla_02_7,True,,1,10,0.5,,shifty_c,shifty_c,,OP_center,surprise,Low_2,,,,,,,,,
d_nikke_dolla_02_8,d_nikke_dolla_02,Choice,Locale_NikkeEpisode:d_nikke_dolla_02_8,False,,10,10,1.0,,,,,OP_center,surprise,,d_nikke_dolla_02_10,,,,,,,,
d_nikke_dolla_02_9,d_nikke_dolla_02,Choice,Locale_NikkeEpisode:d_nikke_dolla_02_9,False,,10,10,1.0,,,,,OP_center,surprise,,d_nikke_dolla_02_13,,,,,,,,
d_nikke_dolla_02_10,d_nikke_dolla_02,Speech,Locale_NikkeEpisode:d_nikke_dolla_02_10,True,,10,10,1.0,,shifty_c,shifty_c,,OP_center,surprise,,,,,,,,,,
