id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/2/hide_char_id
d_nikke_frima_05_1,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_1,False,Cafe,black,black,1.0,bgm_story_sundayintheark,,,,,,,,,,,,,,,,
d_nikke_frima_05_2,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_2,True,,18,18,1.0,,milk,milk,19,good,sugar,17,idle,,,,,,,,,
d_nikke_frima_05_3,d_nikke_frima_05,Speech,sugar,Locale_NikkeEpisode:d_nikke_frima_05_3,True,,18,18,1.0,,sugar,,19,good,,17,idle,,,,,,,,,
d_nikke_frima_05_4,d_nikke_frima_05,Speech,sugar,Locale_NikkeEpisode:d_nikke_frima_05_4,True,,18,18,1.0,,sugar,,19,good,,17,idle,,,,,,,,,
d_nikke_frima_05_5,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_5,False,,18,18,1.0,,sugar,,19,good,,17,idle,,,,,,,,,
d_nikke_frima_05_6,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_6,False,,18,9,2.0,,sugar,,19,good,,17,idle,,,,,,,,,
d_nikke_frima_05_7,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_7,False,,9,9,1.0,,sugar,,19,good,,17,idle,,,,,,,,,
d_nikke_frima_05_8,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_8,True,,9,18,1.0,,milk,,19,good,,17,idle,,,,,,,,,
d_nikke_frima_05_9,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_9,True,,18,18,1.0,,milk,,19,idle,,17,idle,,,,,,,,,
d_nikke_frima_05_10,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_10,False,,18,18,1.0,,milk,,19,idle,,17,idle,,,,,,,,,
d_nikke_frima_05_11,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_11,True,,18,18,1.0,,milk,,19,idle,,17,idle,,,,,,,,,
d_nikke_frima_05_12,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_12,False,,18,18,1.0,,milk,,19,idle,,17,idle,,,,,,,,,
d_nikke_frima_05_13,d_nikke_frima_05,Speech,sugar,Locale_NikkeEpisode:d_nikke_frima_05_13,True,,18,18,1.0,,sugar,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_14,d_nikke_frima_05,Speech,sugar,Locale_NikkeEpisode:d_nikke_frima_05_14,True,,18,18,1.0,,sugar,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_15,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_15,True,,18,19,1.0,,milk,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_16,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_16,True,,19,19,1.0,,milk,,19,idle,,17,delight,,,,,,,,,
