id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,jump_target,characters/0/hide_char_id,fade,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_soda_04_1,d_nikke_soda_04,Narration,Locale_NikkeEpisode:d_nikke_soda_04_1,False,NikkeCorridor,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_2,d_nikke_soda_04,Narration,Locale_NikkeEpisode:d_nikke_soda_04_2,False,,1,1,1.0,,sfx_scn_knock,,,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_3,d_nikke_soda_04,Speech,Locale_NikkeEpisode:d_nikke_soda_04_3,False,,1,1,1.0,,,soda,,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_4,d_nikke_soda_04,Self,Locale_NikkeEpisode:d_nikke_soda_04_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_5,d_nikke_soda_04,Speech,Locale_NikkeEpisode:d_nikke_soda_04_5,False,,1,1,1.0,,,soda,,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_6,d_nikke_soda_04,Speech,Locale_NikkeEpisode:d_nikke_soda_04_6,False,,1,1,1.0,,,soda,,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_7,d_nikke_soda_04,Narration,Locale_NikkeEpisode:d_nikke_soda_04_7,False,,1,1,1.0,,sfx_scn_heavytrip,,Low_2,,,,,,,,,,,,,,,,,,,,
d_nikke_soda_04_8,d_nikke_soda_04,Monologue,Locale_NikkeEpisode:d_nikke_soda_04_8,False,NikkeRoom,black,black,1.0,,,,,soda,1,sad,,,,,,,,,,,,,,,,,
d_nikke_soda_04_9,d_nikke_soda_04,Speech,Locale_NikkeEpisode:d_nikke_soda_04_9,True,,S_10,S_10,1.0,,,soda,,,1,sad,soda,,,,,,,,,,,,,,,,
d_nikke_soda_04_10,d_nikke_soda_04,Self,Locale_NikkeEpisode:d_nikke_soda_04_10,False,,S_10,S_10,1.0,,,,,,1,sad,soda,,,,,,,,,,,,,,,,
d_nikke_soda_04_11,d_nikke_soda_04,Speech,Locale_NikkeEpisode:d_nikke_soda_04_11,False,,S_10,S_10,1.0,,,soda,,,1,sad,soda,,,,,,,,,,,,,,,,
