id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,jump_target,characters/1/hide_char_id
treasurestory_drake_03_1,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_1,True,drake,12,idle,OutpostOut,120,120,1.0,bgm_story_luckybreak,,,,,,,,
treasurestory_drake_03_2,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_2,False,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_3,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_3,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_4,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_4,False,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_5,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_5,True,,12,idle,,120,1200,1.0,,,,,,,,,
treasurestory_drake_03_6,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_6,True,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_7,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_7,False,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_8,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_8,True,,12,no,,1200,120,1.0,,,,,,,,,
treasurestory_drake_03_9,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_9,True,,12,no,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_10,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_10,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_11,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_11,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_12,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_12,False,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_13,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_13,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_14,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_14,False,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_15,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_15,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_16,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_16,False,,12,idle,,120,120,1.0,,,,,,,,,
