id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/hide_char_id
treasurestory_drake_05_1,treasurestory_drake_05,Narration,mica,Locale_NikkeEpisode:treasurestory_drake_05_1,False,mica,3,idle,belorta,1,idle,drake,13,idle,ToyShop,2,2,1.0,sfx_scn_toyshopbell,bgm_story_onlineshopping,,,,,
treasurestory_drake_05_2,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_2,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,mica,,,,
treasurestory_drake_05_3,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_3,True,,3,idle,,1,delight,,13,idle,,2,2,1.0,,,belorta,,,,
treasurestory_drake_05_4,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_4,True,,3,idle,,1,delight,,13,idle,,2,2,1.0,,,belorta,,,,
treasurestory_drake_05_5,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_5,True,,3,idle,,1,delight,,13,idle,,2,XS_30,1.5,,,mica,,,,
treasurestory_drake_05_6,treasurestory_drake_05,Self,mica,Locale_NikkeEpisode:treasurestory_drake_05_6,False,,3,idle,,1,delight,,13,idle,,XS_30,XS_30,1.0,,,,,,,
treasurestory_drake_05_7,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_7,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_8,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_8,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_9,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_9,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,mica,,,,
treasurestory_drake_05_10,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_10,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,belorta,,,,
treasurestory_drake_05_11,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_11,True,,3,idle,,1,idle,,13,idle,,2,12,1.0,,,drake,,,,
treasurestory_drake_05_12,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_12,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_13,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_13,False,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_14,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_14,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_15,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_15,True,,3,idle,,1,delight,,13,idle,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_16,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_16,True,,3,idle,,1,delight,,13,idle,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_17,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_17,True,,3,idle,,1,idle,,13,idle,,12,XS_10,1.0,,,belorta,,,,
treasurestory_drake_05_18,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_18,True,,3,worry,,1,idle,,13,idle,,XS_10,XS_30,1.5,,,mica,,,,
treasurestory_drake_05_19,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_19,True,,3,worry,,1,idle,,13,idle,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_20,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_20,True,,3,worry,,1,idle,,13,idle,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_21,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_21,True,,3,worry,,1,delight,,13,idle,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_22,treasurestory_drake_05,Self,belorta,Locale_NikkeEpisode:treasurestory_drake_05_22,False,,3,worry,,1,delight,,13,idle,,12,12,1.0,,,,,,,
treasurestory_drake_05_23,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_23,True,,3,idle,,1,delight,,13,idle,,XS_30,XS_30,1.0,,,mica,,,,
treasurestory_drake_05_24,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_24,True,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_25,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_25,True,,3,worry,,1,idle,,13,idle,,XS_30,XS_30,1.0,,,mica,,,,
treasurestory_drake_05_26,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_26,True,,3,worry,,1,idle,,13,angry,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_27,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_27,True,,3,worry,,1,idle,,13,angry,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_28,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_28,True,,3,worry,,1,idle,,13,angry,,XS_30,XS_30,1.0,,,mica,,,,
treasurestory_drake_05_29,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_29,True,,3,worry,,1,idle,,13,angry,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_30,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_30,True,,3,worry,,1,idle,,13,angry,,130,130,1.0,,,drake,,,,
treasurestory_drake_05_31,treasurestory_drake_05,Self,drake,Locale_NikkeEpisode:treasurestory_drake_05_31,False,,3,worry,,1,idle,,13,angry,,130,130,1.0,,,,,,,
treasurestory_drake_05_32,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_32,True,,3,idle,,1,idle,,13,angry,,130,12,1.0,,,belorta,,,,
treasurestory_drake_05_33,treasurestory_drake_05,Monologue,belorta,Locale_NikkeEpisode:treasurestory_drake_05_33,False,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,,,,,
treasurestory_drake_05_34,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_34,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_35,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_35,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_36,treasurestory_drake_05,Speech,mica,Locale_NikkeEpisode:treasurestory_drake_05_36,True,,3,idle,,1,idle,,13,angry,,12,2,1.5,,,mica,,,,
treasurestory_drake_05_37,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_37,True,,3,idle,,1,delight,,13,idle,,2,2,1.0,,,belorta,,,,
treasurestory_drake_05_38,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_38,True,,3,idle,,1,delight,,13,idle,,2,2,1.0,,,belorta,,,,
treasurestory_drake_05_39,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_39,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,belorta,,,,
treasurestory_drake_05_40,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_40,True,,3,idle,,1,idle,,13,angry,,2,12,1.0,,,drake,,,,
treasurestory_drake_05_41,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_41,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_42,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_42,True,,3,idle,,1,delight,,13,angry,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_43,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_43,True,,3,idle,,1,delight,,13,angry,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_44,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_44,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_45,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_45,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_46,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_46,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_47,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_47,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_48,treasurestory_drake_05,Speech,belorta,Locale_NikkeEpisode:treasurestory_drake_05_48,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,belorta,,,,
treasurestory_drake_05_49,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_49,True,,3,idle,,1,idle,,13,no,,12,12,1.0,,,drake,,,,
treasurestory_drake_05_50,treasurestory_drake_05,Speech,drake,Locale_NikkeEpisode:treasurestory_drake_05_50,True,,3,idle,,1,idle,,13,no,,12,130,1.0,,,drake,,,,
