id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,play_sound,set_camera_shake,set_object,set_object_position,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
treasurestory_frima_07_1,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_1,False,NikkeRoom,1,1,1.0,bgm_story_backtonormal,,,,,,,,,frima,1,angry,
treasurestory_frima_07_2,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_2,False,,1,1,1.0,,,,,,,,,,,1,angry,
treasurestory_frima_07_3,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_3,False,,1,1,1.0,,,,,,,,,,,1,angry,
treasurestory_frima_07_4,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_4,False,,1,1,1.0,,frima,frima,,,,,,,,1,angry,
treasurestory_frima_07_5,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_5,False,,1,1,1.0,,,,,,,,,,,1,angry,
treasurestory_frima_07_6,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_6,True,,1,1,1.0,,frima,frima,,,,,,,,1,no,
treasurestory_frima_07_7,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_7,False,,1,1,1.0,,,,,,,,,,,1,no,
treasurestory_frima_07_8,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_8,True,,1,10,1.0,,frima,frima,,,,,,,,1,no,
treasurestory_frima_07_9,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_9,False,,10,10,1.0,,,,,,,,,,,1,no,
treasurestory_frima_07_10,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_10,True,,10,10,1.0,,frima,frima,,,,,,,,1,no,
treasurestory_frima_07_11,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_11,True,,10,10,1.0,,frima,frima,,,,,,,,1,no,
treasurestory_frima_07_12,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_12,False,,10,10,1.0,,,,,,,,,,,1,no,
