id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,fade
d_nikke_quiry_04_1,d_nikke_quiry_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_quiry_04_1,False,Cafe,1,3,2.0,sfx_scn_toyshopbell,bgm_story_tuffguys,,,,,,,,,,,,,,,,
d_nikke_quiry_04_2,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_2,True,,3,3,1.0,,,quiry,5,idle,milk,3,good,sugar,1,idle,,,,,,,
d_nikke_quiry_04_3,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_3,False,,3,31,1.0,,,,5,idle,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_4,d_nikke_quiry_04,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_quiry_04_4,True,,31,31,1.0,,,,5,idle,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_5,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_5,True,,5,5,1.0,,,,5,idle,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_6,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_6,True,,5,S_50,1.0,,,,5,special,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_7,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_7,True,,S_50,S_30,1.0,,,,5,special,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_8,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_8,True,,S_30,S_30,1.0,,,,5,special,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_9,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_9,True,,S_50,S_500,0.5,,,,5,idle,,3,good,,1,idle,,,,,,,
d_nikke_quiry_04_10,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_10,True,,S_30,S_300,0.5,,,,5,idle,,3,angry,,1,idle,,,,,,,
d_nikke_quiry_04_11,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_11,True,,53,53,1.0,,,,5,idle,,3,angry,,1,idle,,,,,,,
d_nikke_quiry_04_12,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_12,True,,53,53,1.0,,,,5,surprise,,3,angry,,1,idle,,,,,,,
d_nikke_quiry_04_13,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_13,True,,53,53,1.0,,,,5,surprise,,3,angry,,1,idle,,,,,,,
d_nikke_quiry_04_14,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_14,True,,53,53,1.0,,,,5,delight,,3,angry,,1,idle,,,,,,,
d_nikke_quiry_04_15,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_15,True,,53,53,1.0,,,,5,delight,,3,idle,,1,idle,,,,,,,
d_nikke_quiry_04_16,d_nikke_quiry_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_quiry_04_16,True,,53,53,1.0,,,,5,delight,,3,idle,,1,idle,,,,,,,
d_nikke_quiry_04_17,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_17,True,,53,5,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
d_nikke_quiry_04_18,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_18,True,,5,5,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
d_nikke_quiry_04_19,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_19,True,,5,5,1.0,,,,5,idle,,3,idle,,1,idle,,,,,,,
d_nikke_quiry_04_20,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_20,True,,5,S_50,1.0,,,,5,delight,,3,idle,,1,idle,,,,,,,
d_nikke_quiry_04_21,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_21,True,,S_10,S_100,0.5,,,,5,delight,,3,idle,,1,surprise,,,,,,,
d_nikke_quiry_04_22,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_22,True,,S_100,S_100,1.0,,,,5,idle,,3,idle,,1,surprise,,,,,,,
d_nikke_quiry_04_23,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_23,True,,S_100,S_10,1.0,,,,5,idle,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_24,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_24,True,,S_10,S_10,1.0,,,,5,idle,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_25,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_25,True,,S_50,S_50,1.0,,,,5,idle,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_26,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_26,True,,S_10,S_10,1.0,,,,5,idle,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_27,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_27,True,,S_10,S_10,1.0,,,,5,idle,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_28,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_28,True,,5,S_50,2.0,,,,5,idle,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_29,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_29,True,,S_50,S_50,1.0,,,,5,delight,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_30,d_nikke_quiry_04,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_04_30,True,,S_50,S_500,0.5,,,,5,delight,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_31,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_31,True,,S_10,S_10,1.0,,,,5,delight,,3,idle,,1,delight,,,,,,,
d_nikke_quiry_04_32,d_nikke_quiry_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_quiry_04_32,True,,S_10,S_10,1.0,,,,5,delight,,3,idle,,1,delight,,,,,,,
