id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_background,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,set_camera_shake
d_nikke_soda_twinklingbunny_02_1,d_nikke_soda_twinklingbunny_02,Narration,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_1,False,black,black,1.0,sfx_scn_knock,none,,,,,,,,,
d_nikke_soda_twinklingbunny_02_2,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_2,False,black,black,1.0,,,soda_b,soda_b,,,,,,,
d_nikke_soda_twinklingbunny_02_3,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_3,False,black,black,1.0,,,soda_b,soda_b,,,,,,,
d_nikke_soda_twinklingbunny_02_4,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_4,False,black,black,1.0,,,soda_b,soda_b,,,,,,,
d_nikke_soda_twinklingbunny_02_5,d_nikke_soda_twinklingbunny_02,Self,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_5,False,black,black,1.0,,,,,,,,,,,
d_nikke_soda_twinklingbunny_02_6,d_nikke_soda_twinklingbunny_02,Narration,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_6,False,black,black,1.0,sfx_scn_doorcloselight,,,,Hotel,,,,,,
d_nikke_soda_twinklingbunny_02_7,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_7,True,S_10,S_10,1.0,,bgm_story_orangepop,soda_b,soda_b,,soda_b,1,idle,,,
d_nikke_soda_twinklingbunny_02_8,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_8,True,S_10,S_10,1.0,,,soda_b,soda_b,,,1,idle,,,
d_nikke_soda_twinklingbunny_02_9,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_9,True,S_10,S_10,1.0,,,soda_b,soda_b,,,1,idle,,,
d_nikke_soda_twinklingbunny_02_10,d_nikke_soda_twinklingbunny_02,Speech,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_10,True,S_10,S_10,1.0,,,soda_b,soda_b,,,1,idle,,,
d_nikke_soda_twinklingbunny_02_11,d_nikke_soda_twinklingbunny_02,Monologue,Locale_NikkeEpisode:d_nikke_soda_twinklingbunny_02_11,False,S_10,S_10,1.0,,,,,,,1,idle,,,
