id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/hide_char_id,fade
d_nikke_ade_03_1,d_nikke_ade_03,Narration,Locale_NikkeEpisode:d_nikke_ade_03_1,False,ade,1,worried,Restaurant,1,1,1.0,sfx_scn_toyshopbell,bgm_story_orangepop,,,,
d_nikke_ade_03_2,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_2,True,,1,worried,,1,1,1.0,,,femaleemployee,femaleemployee,,
d_nikke_ade_03_3,d_nikke_ade_03,Self,Locale_NikkeEpisode:d_nikke_ade_03_3,False,,1,worried,,1,1,1.0,,,,,,
d_nikke_ade_03_4,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_4,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_5,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_5,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_6,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_6,True,,3,worried,,1,3,1.0,,,ade,ade,,
d_nikke_ade_03_7,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_7,True,,3,shy,,3,30,1.0,,,ade,ade,,
d_nikke_ade_03_8,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_8,False,,3,shy,,30,30,1.0,,,ade,,,
d_nikke_ade_03_9,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_9,False,,3,shy,,30,30,1.0,,,ade,,ade,
d_nikke_ade_03_10,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_10,True,,1,shy,,30,30,1.0,,,femaleemployee,femaleemployee,,
d_nikke_ade_03_11,d_nikke_ade_03,Narration,Locale_NikkeEpisode:d_nikke_ade_03_11,False,,1,shy,,30,1,1.0,sfx_scn_rustle_2,,ade,,,
d_nikke_ade_03_12,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_12,False,ade,1,shy,,1,1,1.0,,,ade,,,
d_nikke_ade_03_13,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_13,True,,1,shy,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_14,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_14,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_15,d_nikke_ade_03,Self,Locale_NikkeEpisode:d_nikke_ade_03_15,False,,1,worried,,1,1,1.0,,,ade,,,
d_nikke_ade_03_16,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_16,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_17,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_17,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_18,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_18,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_19,d_nikke_ade_03,Self,Locale_NikkeEpisode:d_nikke_ade_03_19,False,,1,worried,,1,1,1.0,,,ade,,,
d_nikke_ade_03_20,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_20,True,,1,worried,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_21,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_21,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_22,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_22,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_23,d_nikke_ade_03,Self,Locale_NikkeEpisode:d_nikke_ade_03_23,False,,1,idle,,1,1,1.0,,,ade,,,
d_nikke_ade_03_24,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_24,True,,1,worried,,1,10,1.0,,,ade,ade,,
d_nikke_ade_03_25,d_nikke_ade_03,Self,Locale_NikkeEpisode:d_nikke_ade_03_25,False,,1,worried,,10,10,1.0,,,ade,,,
d_nikke_ade_03_26,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_26,True,,1,worried,,10,10,1.0,,,ade,ade,,
d_nikke_ade_03_27,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_27,False,,1,worried,,10,10,1.0,sfx_scn_putdown,,ade,,,
d_nikke_ade_03_28,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_28,False,,1,worried,,10,10,1.0,,,ade,,,
d_nikke_ade_03_29,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_29,True,,1,worried,,10,10,1.0,,,ade,ade,,
d_nikke_ade_03_30,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_30,True,,1,worried,,10,10,1.0,,,ade,ade,,
d_nikke_ade_03_31,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_31,True,,1,worried,,10,1,1.0,,,ade,ade,,
d_nikke_ade_03_32,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_32,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_33,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_33,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_34,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_34,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_35,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_35,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_36,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_36,True,,1,idle,,1,1,1.0,,,ade,ade,,
d_nikke_ade_03_37,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_37,False,,1,shy,,1,100,1.0,,,ade,ade,,
d_nikke_ade_03_38,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_38,False,,1,shy,,100,100,1.0,,,ade,,,
d_nikke_ade_03_39,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_39,False,,1,shy,,100,100,1.0,,,ade,,,
d_nikke_ade_03_40,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_40,True,,1,shy,,100,100,1.0,,,ade,ade,,
d_nikke_ade_03_41,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_41,True,,1,shy,,100,100,1.0,,,ade,ade,,
d_nikke_ade_03_42,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_42,True,,1,delight,,100,100,1.0,,,ade,ade,,
d_nikke_ade_03_43,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_43,True,,1,delight,,100,100,1.0,,,ade,ade,,
d_nikke_ade_03_44,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_44,True,,1,delight,,100,100,1.0,,,ade,ade,,
d_nikke_ade_03_45,d_nikke_ade_03,Monologue,Locale_NikkeEpisode:d_nikke_ade_03_45,False,,1,delight,,100,100,1.0,,,ade,,,
d_nikke_ade_03_46,d_nikke_ade_03,Self,Locale_NikkeEpisode:d_nikke_ade_03_46,False,,1,delight,,100,100,1.0,,,ade,,,
d_nikke_ade_03_47,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_47,True,,1,idle,,100,1,1.0,,,ade,ade,,
d_nikke_ade_03_48,d_nikke_ade_03,Speech,Locale_NikkeEpisode:d_nikke_ade_03_48,True,,1,idle,,1,1,1.0,,,ade,ade,,
