id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,jump_target
d_nikke_signal_05_1,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_1,True,NikkeCorridor,1,1,1.0,none,,,,,,,,,,
d_nikke_signal_05_2,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_2,True,,1,10,0.5,,sfx_scn_knock,Low_2,,,,,,,,
d_nikke_signal_05_3,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_3,False,,10,1,2.0,,,,,,,,,,,
d_nikke_signal_05_4,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_4,True,,1,1,1.0,,,,,,,,,,,
d_nikke_signal_05_5,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_5,True,,1,100,2.0,,,,,,,,,,,
d_nikke_signal_05_6,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_6,True,,100,100,1.0,,sfx_scn_autodooropen,,,,,,,,,
d_nikke_signal_05_7,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_7,True,,100,100,1.0,,,,,,,,,,,
d_nikke_signal_05_8,d_nikke_signal_05,Self,Locale_NikkeEpisode:d_nikke_signal_05_8,False,,100,100,1.0,,,,,,,,,,,
d_nikke_signal_05_9,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_9,True,,100,100,1.0,,,,,,,,,,,
d_nikke_signal_05_10,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_10,True,none,100,100,1.0,,,,,,,,,,,
d_nikke_signal_05_11,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_11,True,Office,black,black,1.0,bgm_story_shapeofhope,,,rosaline,rosaline,rosaline,1,idle,black,,
d_nikke_signal_05_12,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_12,True,,10,10,1.0,,,,rosaline,rosaline,,1,idle,,,
d_nikke_signal_05_13,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_13,True,,10,10,1.0,,,,rosaline,rosaline,,1,idle,,,
d_nikke_signal_05_14,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_14,True,,10,10,1.0,,,,orlando,orlando,,1,idle,,,
d_nikke_signal_05_15,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_15,True,,10,10,1.0,,,,rosaline,rosaline,,1,idle,,,
d_nikke_signal_05_16,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_16,True,,10,10,1.0,none,,,orlando,orlando,,1,idle,,,
d_nikke_signal_05_17,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_17,True,,10,100,0.5,,,,rosaline,rosaline,,1,idle,,,
d_nikke_signal_05_18,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_18,True,,100,100,1.0,bgm_story_herecomestrouble,,,orlando,orlando,,1,idle,,,
d_nikke_signal_05_19,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_19,True,,100,100,1.0,,,,orlando,orlando,,1,idle,,,
d_nikke_signal_05_20,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_20,True,,100,10,0.5,,,,rosaline,rosaline,,1,idle,,,
d_nikke_signal_05_21,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_21,True,,10,10,1.0,,,,rosaline,rosaline,,1,idle,,,
d_nikke_signal_05_22,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_22,True,none,black,black,1.0,,,,signal,signal,,1,idle,,rosaline,
d_nikke_signal_05_23,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_23,True,NikkeRoom,XS_10,XS_100,0.5,,,,signal,signal,signal,1,sad,,,
d_nikke_signal_05_24,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_24,True,,XS_100,XS_100,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_25,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_25,True,,XS_100,XS_100,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_26,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_26,True,,XS_100,XS_10,2.0,,,,signal,signal,,1,idle,,,
d_nikke_signal_05_27,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_27,True,,XS_10,XS_10,1.0,,,,signal,signal,,1,idle,,,
d_nikke_signal_05_28,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_28,True,,XS_10,XS_10,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_29,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_29,True,,XS_10,XS_10,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_30,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_30,True,,XS_10,XS_10,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_31,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_31,True,,XS_10,XS_10,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_32,d_nikke_signal_05,Speech,Locale_NikkeEpisode:d_nikke_signal_05_32,True,,XS_10,XS_10,1.0,,,,signal,signal,,1,sad,,,
d_nikke_signal_05_33,d_nikke_signal_05,Narration,Locale_NikkeEpisode:d_nikke_signal_05_33,True,,XS_10,XS_10,1.0,none,sfx_scn_knock,,signal,,,1,sad,,,
