id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_cocoa_03_1,d_nikke_cocoa_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cocoa_03_1,False,Bar,1,XS_10,1.0,bgm_story_fairytalesend_a,,,,,,cocoa,1,serious,,satou,14,idle,,outlaw,16,idle,
d_nikke_cocoa_03_2,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_2,False,,XS_10,S_160,0.3,,sfx_scn_paperknife,Low_2,,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_3,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_3,False,,S_160,S_160,1.0,,,,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_4,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_4,True,,S_160,S_160,1.0,,,,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_5,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_5,True,,S_160,15,1.0,,,,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_6,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_6,False,,black,black,1.0,,sfx_scn_paperknife,,,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_7,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_7,True,,15,15,1.0,,,Low_2,satou,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_8,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_8,True,,15,L_140,0.3,,,,satou,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_9,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_9,True,,L_140,L_140,1.0,,,,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_10,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_10,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_11,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_11,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_12,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_12,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_13,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_13,False,,XS_10,XS_10,1.0,,,,,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_14,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_14,False,,XS_10,S_160,0.3,,sfx_scn_paperknife,Low_2,,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_15,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_15,True,,S_160,16,0.3,,,Low_2,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_16,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_16,True,,16,L_140,0.3,,,,satou,,,,1,serious,,,14,idle,,,16,idle,
