id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade
d_nikke_mast_05_1,d_nikke_mast_05,Speech,mast,mast,Locale_NikkeEpisode:d_nikke_mast_05_1,True,mast,1,idle2,CommanderRoom,1,10,1.0,bgm_story_backtonormal,,,
d_nikke_mast_05_2,d_nikke_mast_05,Self,mast,,Locale_NikkeEpisode:d_nikke_mast_05_2,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_3,d_nikke_mast_05,Speech,mast,mast,Locale_NikkeEpisode:d_nikke_mast_05_3,True,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_4,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_4,False,,1,idle2,,10,160,1.0,,,,
d_nikke_mast_05_5,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_5,False,,1,idle2,,160,160,1.0,,,,
d_nikke_mast_05_6,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_6,False,,1,idle2,,160,160,1.0,,,,
d_nikke_mast_05_7,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_7,False,,1,idle2,,160,160,1.0,,,,
d_nikke_mast_05_8,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_8,False,,1,idle2,,160,160,1.0,,,,
d_nikke_mast_05_9,d_nikke_mast_05,Choice,mast,,Locale_NikkeEpisode:d_nikke_mast_05_9,False,,1,idle2,,10,10,1.0,,d_nikke_mast_05_11,,
d_nikke_mast_05_10,d_nikke_mast_05,Choice,mast,,Locale_NikkeEpisode:d_nikke_mast_05_10,False,,1,idle2,,10,10,1.0,,d_nikke_mast_05_11,,
d_nikke_mast_05_11,d_nikke_mast_05,Speech,mast,mast,Locale_NikkeEpisode:d_nikke_mast_05_11,True,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_12,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_12,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_13,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_13,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_14,d_nikke_mast_05,Speech,mast,tvvoice,Locale_NikkeEpisode:d_nikke_mast_05_14,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_15,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_15,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_16,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_16,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_17,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_17,False,,1,idle2,,10,10,1.0,,,,
d_nikke_mast_05_18,d_nikke_mast_05,Monologue,mast,,Locale_NikkeEpisode:d_nikke_mast_05_18,False,,1,idle2,,10,10,1.0,,,,
