id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_nikke_ce006_01_02_1,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_1,True,neon,6,idle,anis,4,void,rapi,2,idle,ce006_01,12,no,ce006_npc_01,14,idle,ce006_03,16,no,roam,18,idle,artcity_d,1,1,1.0,bgm_chapter37_field_swarmnest
d_nikke_ce006_01_02_2,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_2,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,no,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_3,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_3,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,no,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_4,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_4,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,no,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_5,d_nikke_ce006_01_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_02_5,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,no,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_6,d_nikke_ce006_01_02,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_6,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,no,,18,idle,,15,15,1.0,
d_nikke_ce006_01_02_7,d_nikke_ce006_01_02,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_01_02_7,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,15,15,1.0,
d_nikke_ce006_01_02_8,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_8,False,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_9,d_nikke_ce006_01_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_02_9,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_10,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_10,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_11,d_nikke_ce006_01_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_02_11,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_12,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_12,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_13,d_nikke_ce006_01_02,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_02_13,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
d_nikke_ce006_01_02_14,d_nikke_ce006_01_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_02_14,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,sad,,18,idle,,1,1,1.0,
