id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_cinderella_05_1,d_nikke_cinderella_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_cinderella_05_1,False,ArkCleanIndoor,black,black,1.0,none,,,,,,cinderella,3,idle,,,
d_nikke_cinderella_05_2,d_nikke_cinderella_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_cinderella_05_2,False,,17,170,1.0,bgm_story_backtonormal,sfx_scn_soup,,,,,,3,idle,,,
d_nikke_cinderella_05_3,d_nikke_cinderella_05,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_05_3,False,,3,3,1.0,,,,,,,,3,idle,,,
d_nikke_cinderella_05_4,d_nikke_cinderella_05,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_05_4,False,,3,3,1.0,,,cinderella,,,,,3,angry,,,
d_nikke_cinderella_05_5,d_nikke_cinderella_05,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_05_5,True,,3,3,1.0,,,cinderella,,,,,3,angry,,,
d_nikke_cinderella_05_6,d_nikke_cinderella_05,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_05_6,True,,3,S_30,1.0,,,cinderella,,,,,3,smile,,,
d_nikke_cinderella_05_7,d_nikke_cinderella_05,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_05_7,False,,S_30,S_30,1.0,,,,,,,,3,smile,,,
d_nikke_cinderella_05_8,d_nikke_cinderella_05,Speech,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_05_8,True,,S_30,S_30,1.0,,,cinderella,,,,,3,smile,,,
d_nikke_cinderella_05_9,d_nikke_cinderella_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_05_9,False,,17,17,1.0,,,,,,,,3,smile,,,
d_nikke_cinderella_05_10,d_nikke_cinderella_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_cinderella_05_10,False,,17,170,1.0,,sfx_scn_slurp2,,,,,,3,idle,,,
d_nikke_cinderella_05_11,d_nikke_cinderella_05,Self,Self,Locale_NikkeEpisode:d_nikke_cinderella_05_11,False,,170,17,0.5,,,,,,,,3,idle,,,
d_nikke_cinderella_05_12,d_nikke_cinderella_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_05_12,False,,17,17,1.0,,,,,,,,3,idle,,,
d_nikke_cinderella_05_13,d_nikke_cinderella_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_05_13,False,,17,17,1.0,,,,,,,,3,idle,,,
d_nikke_cinderella_05_14,d_nikke_cinderella_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_cinderella_05_14,False,,17,17,1.0,,,,,,,,3,idle,,,
d_nikke_cinderella_05_15,d_nikke_cinderella_05,Choice,,Locale_NikkeEpisode:d_nikke_cinderella_05_15,False,,17,17,1.0,,,,d_nikke_cinderella_05_17,,,,3,idle,,,
d_nikke_cinderella_05_16,d_nikke_cinderella_05,Choice,,Locale_NikkeEpisode:d_nikke_cinderella_05_16,False,,17,17,1.0,,,,d_nikke_cinderella_05_17,,,,3,idle,,,
