id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,conversation_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake
d_nikke_volume_01_1,d_nikke_volume_01,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_01_1,False,CommanderRoom,80,80,1.0,none,,,,,,,,,,,,,,,,
d_nikke_volume_01_2,d_nikke_volume_01,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_01_2,False,,80,80,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_01_3,d_nikke_volume_01,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_01_3,False,,80,80,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_01_4,d_nikke_volume_01,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_01_4,False,,80,80,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_01_5,d_nikke_volume_01,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_01_5,False,,80,80,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_01_6,d_nikke_volume_01,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_01_6,False,,80,80,1.0,,anis,1,worry,neon,13,idle,rapi,15,idle,,,,,,,
d_nikke_volume_01_7,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_7,True,,80,10,1.0,bgm_story_orangepop,,1,worry,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_8,d_nikke_volume_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_01_8,True,,10,113,1.0,,,1,worry,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_9,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_9,True,,113,113,1.0,,,1,void,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_10,d_nikke_volume_01,Choice,,,Locale_NikkeEpisode:d_nikke_volume_01_10,False,,113,113,1.0,,,1,void,,13,idle,,15,idle,d_nikke_volume_01_12,,,,,,
d_nikke_volume_01_11,d_nikke_volume_01,Choice,,,Locale_NikkeEpisode:d_nikke_volume_01_11,False,,113,113,1.0,,,1,void,,13,idle,,15,idle,d_nikke_volume_01_14,,,,,,
d_nikke_volume_01_12,d_nikke_volume_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_volume_01_12,True,,113,150,1.0,,,1,void,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_13,d_nikke_volume_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_volume_01_13,True,,150,150,1.0,,,1,void,,13,idle,,15,idle,d_nikke_volume_01_14,,,,,,
d_nikke_volume_01_14,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_14,True,,113,113,1.0,,,1,sad,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_15,d_nikke_volume_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_01_15,True,,113,113,1.0,,,1,sad,,13,delight,,15,idle,,,,,,,
d_nikke_volume_01_16,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_16,True,,113,113,1.0,,,1,idle,,13,delight,,15,idle,,,,,,,
d_nikke_volume_01_17,d_nikke_volume_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_01_17,True,,113,113,1.0,,,1,idle,,13,surprise,,15,idle,,,,,,,
d_nikke_volume_01_18,d_nikke_volume_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_01_18,True,,113,113,1.0,none,,1,idle,,13,delight,,15,idle,,,,,,,
d_nikke_volume_01_19,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_19,True,,113,113,1.0,,,1,no,,13,delight,,15,idle,,,,,,,
d_nikke_volume_01_20,d_nikke_volume_01,Narration,,,Locale_NikkeEpisode:d_nikke_volume_01_20,False,,113,113,1.0,bgm_story_mustang,,1,no,,13,delight,,15,idle,,m_nikke_volume_01,sfx_scn_phonevibration,,,,
d_nikke_volume_01_21,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_21,False,,113,113,1.0,,,1,idle,,13,idle,,15,idle,,,,,,,
