id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_nikke_delta_02_1,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_1,True,delta,2,idle,anis,12,void,NikkeRoom,12,120,1.0,bgm_story_orangepop,,,,
d_nikke_delta_02_2,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_2,True,,2,idle,,12,void,,120,120,1.0,,,,,
d_nikke_delta_02_3,d_nikke_delta_02,Self,anis,,Locale_NikkeEpisode:d_nikke_delta_02_3,False,,2,idle,,12,void,,120,120,1.0,,,,,
d_nikke_delta_02_4,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_4,True,,2,idle,,12,void,,120,1,1.0,,,,,
d_nikke_delta_02_5,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_5,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_6,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_6,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_7,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_7,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_8,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_8,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_9,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_9,True,,2,idle,,12,delight,,1,1,1.0,,,,,
d_nikke_delta_02_10,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_10,True,,2,idle,,12,void,,1,1,1.0,,,,,
d_nikke_delta_02_11,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_11,True,,2,idle,,12,void,,1,1,1.0,,,,,
d_nikke_delta_02_12,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_12,True,,2,idle,,12,void,,1,1,1.0,,,,,
d_nikke_delta_02_13,d_nikke_delta_02,Self,anis,,Locale_NikkeEpisode:d_nikke_delta_02_13,False,,2,idle,,12,void,,1,1,1.0,,,,,
d_nikke_delta_02_14,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_14,True,,2,sad,,12,void,,1,1,1.0,,,,,
d_nikke_delta_02_15,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_15,True,,2,sad,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_16,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_16,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_17,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_17,True,,2,surprise,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_18,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_18,True,,2,surprise,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_19,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_19,True,,2,surprise,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_20,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_20,True,,2,surprise,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_21,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_21,True,,2,delight,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_22,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_22,True,,2,delight,,12,delight,,1,1,1.0,,,,,
d_nikke_delta_02_23,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_23,False,,2,idle,,12,idle,,black,black,1.0,none,,,,
d_nikke_delta_02_24,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_24,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_25,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_25,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_26,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_26,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_27,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_27,True,,2,idle,,12,delight,,1,20,1.0,,,,,
d_nikke_delta_02_28,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_28,True,,2,idle,,12,delight,,20,20,1.0,bgm_story_tuffguys,,,,
