id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_filter_02,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/1/hide_char_id,fade,characters/0/hide_char_id,conversation_id
d_nikke_maiden_01_1,d_nikke_maiden_01,Speech,announcer,Locale_NikkeEpisode:d_nikke_maiden_01_1,True,City,black,black,1.0,none,,,,,,,,,,,,,,,
d_nikke_maiden_01_2,d_nikke_maiden_01,Speech,announcer,Locale_NikkeEpisode:d_nikke_maiden_01_2,True,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_3,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_3,False,,190,19,2.0,bgm_story_epicjazzymoods,,,,,,,,,,,,,,,
d_nikke_maiden_01_4,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_4,False,,19,19,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_5,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_5,False,,19,19,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_6,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_6,False,,19,19,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_7,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_7,False,Backstreet_n,19,15,2.0,none,,,,,,,,,,,,,,,
d_nikke_maiden_01_8,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_8,False,,15,15,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_9,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_9,False,,15,3,2.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_10,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_10,False,,black,black,1.0,,massproduction01,3,idle,,,,,,,,,,,,
d_nikke_maiden_01_11,d_nikke_maiden_01,Speech,massproduction01,Locale_NikkeEpisode:d_nikke_maiden_01_11,True,,3,3,1.0,,,3,idle,sfx_scn_breakdoll,Vignetting,,,,,,,,,,
d_nikke_maiden_01_12,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_12,False,,3,3,2.0,bgm_story_crawlinganxiety,,3,idle,,Vignetting,,,,,,,,,,
d_nikke_maiden_01_13,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_13,False,,3,30,2.0,,,3,idle,sfx_scn_walk,Vignetting,,,,,,,,,,
d_nikke_maiden_01_14,d_nikke_maiden_01,Speech,massproduction01,Locale_NikkeEpisode:d_nikke_maiden_01_14,True,,30,30,1.0,,,3,idle,sfx_scn_breakdoll,Vignetting,,,,,,,,,,
d_nikke_maiden_01_15,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_15,False,,30,30,1.0,,,3,idle,,Vignetting,,,,,,,,,,
d_nikke_maiden_01_16,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_16,False,,black,black,1.0,,,3,idle,,Vignetting,Red,,,,,,,,,
d_nikke_maiden_01_17,d_nikke_maiden_01,Speech,massproduction01,Locale_NikkeEpisode:d_nikke_maiden_01_17,True,,30,30,1.0,,,3,idle,sfx_scn_breakdoll,Vignetting,Red,,,,,,,,,
d_nikke_maiden_01_18,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_18,False,,30,300,0.5,,,3,idle,,Vignetting,Red,,,,,,,,,
