id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,characters/0/hide_char_id
d_nikke_ce006_01_01_1,d_nikke_ce006_01_01,Monologue,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_1,False,neon,6,idle,anis,4,void,rapi,2,idle,ce006_01,12,no,ce006_npc_01,14,idle,ce006_03,16,special,artcity_d,black,black,1.0,bgm_chapter37_field_swarmnest,,,
d_nikke_ce006_01_01_2,d_nikke_ce006_01_01,Monologue,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_2,False,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,special,,black,black,1.0,,,,
d_nikke_ce006_01_01_3,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_3,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,anis,,
d_nikke_ce006_01_01_4,d_nikke_ce006_01_01,Speech,neon,Locale_NikkeEpisode:d_nikke_ce006_01_01_4,True,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,neon,,
d_nikke_ce006_01_01_5,d_nikke_ce006_01_01,Speech,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_5,False,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,special,,12,120,1.3,,ce006_01,,
d_nikke_ce006_01_01_6,d_nikke_ce006_01_01,Monologue,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_6,False,,6,idle,,4,void,,2,idle,,12,no,,14,idle,,16,special,,120,120,1.0,,,,
d_nikke_ce006_01_01_7,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_7,True,,6,idle,,4,idle,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,anis,black,
d_nikke_ce006_01_01_8,d_nikke_ce006_01_01,Speech,neon,Locale_NikkeEpisode:d_nikke_ce006_01_01_8,True,,6,idle,,4,idle,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,neon,,
d_nikke_ce006_01_01_9,d_nikke_ce006_01_01,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_9,True,,6,idle,,4,idle,,2,idle,,12,no,,14,delight,,16,special,,140,140,1.0,,ce006_npc_01,,
d_nikke_ce006_01_01_10,d_nikke_ce006_01_01,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_10,True,,6,idle,,4,idle,,2,idle,,12,no,,14,idle,,16,special,,140,140,1.0,,ce006_npc_01,,
d_nikke_ce006_01_01_11,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_11,True,,6,idle,,4,idle,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,anis,,
d_nikke_ce006_01_01_12,d_nikke_ce006_01_01,Speech,neon,Locale_NikkeEpisode:d_nikke_ce006_01_01_12,True,,6,surprise,,4,idle,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,neon,,
d_nikke_ce006_01_01_13,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_13,True,,6,surprise,,4,no,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,anis,,
d_nikke_ce006_01_01_14,d_nikke_ce006_01_01,Speech,neon,Locale_NikkeEpisode:d_nikke_ce006_01_01_14,True,,6,surprise,,4,no,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,neon,,
d_nikke_ce006_01_01_15,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_15,True,,6,surprise,,4,angry,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,anis,,
d_nikke_ce006_01_01_16,d_nikke_ce006_01_01,Speech,neon,Locale_NikkeEpisode:d_nikke_ce006_01_01_16,True,,6,idle,,4,angry,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,neon,,
d_nikke_ce006_01_01_17,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_17,True,,6,idle,,4,angry,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,anis,,
d_nikke_ce006_01_01_18,d_nikke_ce006_01_01,Speech,neon,Locale_NikkeEpisode:d_nikke_ce006_01_01_18,True,,6,delight,,4,angry,,2,idle,,12,no,,14,idle,,16,special,,5,5,1.0,,neon,,
d_nikke_ce006_01_01_19,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_19,True,,6,delight,,4,sad,,2,idle,,12,no,,14,idle,,16,special,,5,40,1.3,,anis,,neon
d_nikke_ce006_01_01_20,d_nikke_ce006_01_01,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_20,True,,,,,2,sad,,4,idle,,12,no,,14,think,,16,special,,140,140,1.0,,ce006_npc_01,,
d_nikke_ce006_01_01_21,d_nikke_ce006_01_01,Speech,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_21,True,,,,,2,sad,,4,idle,,12,no,,14,idle,,16,special,,1,1,1.0,,ce006_01,,
d_nikke_ce006_01_01_22,d_nikke_ce006_01_01,Speech,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_22,True,,,,,2,sad,,4,idle,,12,no,,14,idle,,16,special,,1,1,1.0,,ce006_01,,
d_nikke_ce006_01_01_23,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_23,True,,,,,2,worry,,4,idle,,12,no,,14,idle,,16,special,,1,1,1.0,,anis,,
d_nikke_ce006_01_01_24,d_nikke_ce006_01_01,Speech,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_24,True,,,,,2,worry,,4,idle,,12,idle,,14,idle,,16,special,,1,1,1.0,,ce006_01,,
d_nikke_ce006_01_01_25,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_25,True,,,,,2,void,,4,idle,,12,idle,,14,idle,,16,special,,1,20,1.3,,anis,,
d_nikke_ce006_01_01_26,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_26,True,,,,,2,void,,4,idle,,12,idle,,14,idle,,16,special,,20,20,1.0,,anis,,
d_nikke_ce006_01_01_27,d_nikke_ce006_01_01,Speech,anis,Locale_NikkeEpisode:d_nikke_ce006_01_01_27,True,,,,,2,void,,4,idle,,12,idle,,14,idle,,16,special,,20,20,1.0,,anis,,
d_nikke_ce006_01_01_28,d_nikke_ce006_01_01,Speech,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_28,True,,,,,2,void,,4,idle,,12,idle,,14,idle,,16,special,,20,120,1.0,,ce006_01,,
d_nikke_ce006_01_01_29,d_nikke_ce006_01_01,Monologue,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_01_29,False,,,,,4,void,,2,idle,,12,idle,,16,idle,,14,special,,black,black,1.0,,,,
d_nikke_ce006_01_01_30,d_nikke_ce006_01_01,Self,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_01_30,False,,,,,4,void,,2,idle,,12,idle,,16,idle,,14,special,,3,3,1.0,,,,
