id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_filter_01
d_nikke_sakura_03_1,d_nikke_sakura_03,Narration,Locale_NikkeEpisode:d_nikke_sakura_03_1,False,City_d,1,1,1.0,none,,,,,,,,,,,,,
d_nikke_sakura_03_2,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_2,True,,1,1,1.0,bgm_story_backtonormal,sakura,sakura,sakura,1,idle,,,,,,,,
d_nikke_sakura_03_3,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_3,True,,1,1,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_4,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_4,True,,1,1,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_5,d_nikke_sakura_03,Choice,Locale_NikkeEpisode:d_nikke_sakura_03_5,False,,1,1,1.0,,sakura,,,1,idle,d_nikke_sakura_03_7,,,,,,,
d_nikke_sakura_03_6,d_nikke_sakura_03,Choice,Locale_NikkeEpisode:d_nikke_sakura_03_6,False,,1,1,1.0,,sakura,,,1,idle,d_nikke_sakura_03_9,,,,,,,
d_nikke_sakura_03_7,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_7,True,,1,1,1.0,,sakura,sakura,,1,surprise,,,,,,,,
d_nikke_sakura_03_8,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_8,True,,1,1,1.0,,sakura,sakura,,1,idle,d_nikke_sakura_03_10,,,,,,,
d_nikke_sakura_03_9,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_9,True,,1,1,1.0,,sakura,sakura,,1,idle,d_nikke_sakura_03_10,,,,,,,
d_nikke_sakura_03_10,d_nikke_sakura_03,Self,Locale_NikkeEpisode:d_nikke_sakura_03_10,False,,1,1,1.0,,sakura,,,1,idle,,,,,,,,
d_nikke_sakura_03_11,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_11,False,,1,10,1.0,,sakura,sakura,,1,surprise,,,,,,,,
d_nikke_sakura_03_12,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_12,True,,10,10,1.0,,sakura,sakura,,1,shy,,,,,,,,
d_nikke_sakura_03_13,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_13,True,,10,10,1.0,,sakura,sakura,,1,shy,,,,,,,,
d_nikke_sakura_03_14,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_14,True,,10,10,1.0,,sakura,sakura,,1,shy,,,,,,,,
d_nikke_sakura_03_15,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_15,True,,10,10,1.0,,sakura,sakura,,1,delight,,,,,,,,
d_nikke_sakura_03_16,d_nikke_sakura_03,Narration,Locale_NikkeEpisode:d_nikke_sakura_03_16,False,none,10,1,1.0,,,,,1,delight,,sakura,,,,,,
d_nikke_sakura_03_17,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_17,False,Park,1,1,1.0,,sakura,sakura,sakura,1,idle,,,,,,,,
d_nikke_sakura_03_18,d_nikke_sakura_03,Self,Locale_NikkeEpisode:d_nikke_sakura_03_18,False,,1,1,1.0,,sakura,,,1,idle,,,,,,,,
d_nikke_sakura_03_19,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_19,False,,1,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_20,d_nikke_sakura_03,Choice,Locale_NikkeEpisode:d_nikke_sakura_03_20,False,,10,10,1.0,,sakura,,,1,idle,d_nikke_sakura_03_22,,,,,,,
d_nikke_sakura_03_21,d_nikke_sakura_03,Choice,Locale_NikkeEpisode:d_nikke_sakura_03_21,False,,10,10,1.0,,sakura,,,1,idle,d_nikke_sakura_03_27,,,,,,,
d_nikke_sakura_03_22,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_22,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_23,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_23,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_24,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_24,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_25,d_nikke_sakura_03,Self,Locale_NikkeEpisode:d_nikke_sakura_03_25,False,,10,10,1.0,,sakura,,,1,idle,,,,,,,,
d_nikke_sakura_03_26,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_26,True,,10,10,1.0,,sakura,sakura,,1,idle,d_nikke_sakura_03_31,,,,,,,
d_nikke_sakura_03_27,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_27,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_28,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_28,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_29,d_nikke_sakura_03,Self,Locale_NikkeEpisode:d_nikke_sakura_03_29,False,,10,10,1.0,,sakura,,,1,idle,,,,,,,,
d_nikke_sakura_03_30,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_30,True,,10,10,1.0,,sakura,sakura,,1,idle,d_nikke_sakura_03_31,,,,,,,
d_nikke_sakura_03_31,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_31,False,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_32,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_32,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_33,d_nikke_sakura_03,Self,Locale_NikkeEpisode:d_nikke_sakura_03_33,False,,10,10,1.0,,sakura,,,1,idle,,,,,,,,
d_nikke_sakura_03_34,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_34,True,,10,100,1.0,,sakura,sakura,,1,surprise,,,,,,,,
d_nikke_sakura_03_35,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_35,True,,100,100,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_36,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_36,True,,100,100,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_37,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_37,True,,100,100,1.0,,sakura,sakura,,1,idle,,,,,,,,
d_nikke_sakura_03_38,d_nikke_sakura_03,Narration,Locale_NikkeEpisode:d_nikke_sakura_03_38,False,none,13,13,1.0,,,,,1,idle,,sakura,sfx_scn_toyshopbell,,,,,
d_nikke_sakura_03_39,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_39,True,Cafe,13,13,1.0,,storekeeper,storekeeper,sakura,1,idle,,,,storekeeper,13,idle,,
d_nikke_sakura_03_40,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_40,True,,13,130,1.0,,storekeeper,storekeeper,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_41,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_41,True,,12,12,1.0,,sakura,sakura,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_42,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_42,True,,12,12,1.0,,storekeeper,storekeeper,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_43,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_43,True,,12,12,1.0,,storekeeper,storekeeper,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_44,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_44,True,,12,12,1.0,,storekeeper,storekeeper,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_45,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_45,True,,12,12,1.0,,sakura,sakura,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_46,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_46,True,,12,12,1.0,,sakura,sakura,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_47,d_nikke_sakura_03,Speech,Locale_NikkeEpisode:d_nikke_sakura_03_47,True,,12,12,1.0,,storekeeper,storekeeper,,1,idle,,,,,13,idle,,
d_nikke_sakura_03_48,d_nikke_sakura_03,Narration,Locale_NikkeEpisode:d_nikke_sakura_03_48,False,,13,13,1.0,,,,,1,idle,,,,,13,idle,storekeeper,Black
d_nikke_sakura_03_49,d_nikke_sakura_03,Monologue,Locale_NikkeEpisode:d_nikke_sakura_03_49,False,,13,13,1.0,,,,,1,surprise,,,,storekeeper,13,idle,,Black
