id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_soda_02_1,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_1,True,Cafe,S_10,S_10,1.0,none,,,,,soda,1,serious,,,,,,,,
d_nikke_soda_02_2,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_2,True,,S_10,S_100,1.0,,,,,,,1,serious,,,,,,,,
d_nikke_soda_02_3,d_nikke_soda_02,Narration,soda,,Locale_NikkeEpisode:d_nikke_soda_02_3,False,,S_100,S_100,1.0,,,,,,,1,serious,,,,,,,,
d_nikke_soda_02_4,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_4,True,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_5,d_nikke_soda_02,Monologue,soda,,Locale_NikkeEpisode:d_nikke_soda_02_5,False,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_6,d_nikke_soda_02,Self,soda,,Locale_NikkeEpisode:d_nikke_soda_02_6,False,,S_10,S_10,1.0,bgm_story_orangepop,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_7,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_7,True,,S_10,S_10,1.0,,,,,,,1,serious,,,,,,,,
d_nikke_soda_02_8,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_8,True,,S_10,S_10,1.0,,,,,,,1,serious,,,,,,,,
d_nikke_soda_02_9,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_9,True,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_10,d_nikke_soda_02,Narration,soda,,Locale_NikkeEpisode:d_nikke_soda_02_10,False,,S_10,S_10,1.0,,sfx_scn_putdown,,,,,1,sad,,,,,,,,
d_nikke_soda_02_11,d_nikke_soda_02,Monologue,soda,,Locale_NikkeEpisode:d_nikke_soda_02_11,False,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_12,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_12,True,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_13,d_nikke_soda_02,Self,soda,,Locale_NikkeEpisode:d_nikke_soda_02_13,False,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_14,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_14,True,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_15,d_nikke_soda_02,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_soda_02_15,True,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
d_nikke_soda_02_16,d_nikke_soda_02,Monologue,soda,,Locale_NikkeEpisode:d_nikke_soda_02_16,False,,S_10,S_10,1.0,,,,,,,1,sad,,,,,,,,
