id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade,jump_target
d_nikke_noir_01_1,d_nikke_noir_01,Speech,mc,Locale_NikkeEpisode:d_nikke_noir_01_1,False,noir,1,idle,blanc,3,idle,CoinRushIndoor,2,2,1.0,bgm_story_orangepop,,,,,,,,
d_nikke_noir_01_2,d_nikke_noir_01,Speech,audience,Locale_NikkeEpisode:d_nikke_noir_01_2,False,,1,idle,,3,idle,,2,2,1.0,,,,,,,,,
d_nikke_noir_01_3,d_nikke_noir_01,Monologue,,Locale_NikkeEpisode:d_nikke_noir_01_3,False,,1,idle,,3,idle,,2,L_10,1.0,,noir,,,,,,,
d_nikke_noir_01_4,d_nikke_noir_01,Monologue,,Locale_NikkeEpisode:d_nikke_noir_01_4,False,,1,idle,,3,idle,,L_10,L_10,1.0,,noir,,,,,,,
d_nikke_noir_01_5,d_nikke_noir_01,Monologue,,Locale_NikkeEpisode:d_nikke_noir_01_5,False,,1,idle,,3,idle,,L_10,L_10,1.0,,noir,,,,,,,
d_nikke_noir_01_6,d_nikke_noir_01,Monologue,,Locale_NikkeEpisode:d_nikke_noir_01_6,False,,1,idle,,3,idle,,L_10,L_10,1.0,,noir,,,,,,,
d_nikke_noir_01_7,d_nikke_noir_01,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_01_7,True,,1,idle,,3,idle,,L_10,2,1.0,,blanc,,,,,,,
d_nikke_noir_01_8,d_nikke_noir_01,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_01_8,True,,1,delight,,3,idle,,2,2,1.0,,noir,,,,,,,
d_nikke_noir_01_9,d_nikke_noir_01,Monologue,,Locale_NikkeEpisode:d_nikke_noir_01_9,False,,1,delight,,3,delight,,2,L_30,1.0,,blanc,,,,,,,
d_nikke_noir_01_10,d_nikke_noir_01,Monologue,,Locale_NikkeEpisode:d_nikke_noir_01_10,False,,1,delight,,3,delight,,L_30,L_30,1.0,,blanc,,,,,,,
d_nikke_noir_01_11,d_nikke_noir_01,Speech,femaleguest,Locale_NikkeEpisode:d_nikke_noir_01_11,True,,1,delight,,3,idle,,L_30,12,1.0,,femaleguest,femaleguest,13,idle,,,,
d_nikke_noir_01_12,d_nikke_noir_01,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_01_12,True,,1,idle,,3,idle,,12,12,1.0,,noir,,13,idle,,,,
d_nikke_noir_01_13,d_nikke_noir_01,Speech,femaleguest,Locale_NikkeEpisode:d_nikke_noir_01_13,True,,1,idle,,3,idle,,12,12,1.0,,femaleguest,,13,idle,,,,
d_nikke_noir_01_14,d_nikke_noir_01,Speech,femaleguest,Locale_NikkeEpisode:d_nikke_noir_01_14,True,,1,idle,,3,idle,,12,12,1.0,,femaleguest,,13,idle,,,,
d_nikke_noir_01_15,d_nikke_noir_01,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_01_15,True,,1,idle,,3,idle,,12,12,1.0,,noir,,13,idle,,,,
d_nikke_noir_01_16,d_nikke_noir_01,Speech,femaleguest,Locale_NikkeEpisode:d_nikke_noir_01_16,True,,1,idle,,3,idle,,12,12,1.0,,femaleguest,,13,idle,,,,
d_nikke_noir_01_17,d_nikke_noir_01,Speech,femaleguest,Locale_NikkeEpisode:d_nikke_noir_01_17,True,,1,idle,,3,idle,,12,12,1.0,,femaleguest,,13,idle,,,,
d_nikke_noir_01_18,d_nikke_noir_01,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_01_18,True,,1,surprise,,3,idle,,12,L_10,2.0,none,noir,,13,idle,,,,
