id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_nikke_ce004_01_03_1,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_1,True,ce004_01_s,12,idle,zwei,2,idle,Library,1,1,1.0,bgm_story_backtonormal,
d_nikke_ce004_01_03_2,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_2,True,,12,idle,,2,idle,,1,1,1.0,,
d_nikke_ce004_01_03_3,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_3,True,,12,idle,,2,surprise,,1,1,1.0,,
d_nikke_ce004_01_03_4,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_4,True,,12,idle,,2,surprise,,1,1,1.0,,
d_nikke_ce004_01_03_5,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_5,True,,12,surprise,,2,surprise,,1,120,1.0,,
d_nikke_ce004_01_03_6,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_6,True,,12,idle,,2,surprise,,120,120,1.0,,
d_nikke_ce004_01_03_7,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_7,True,,12,idle,,2,surprise,,120,120,1.0,,
d_nikke_ce004_01_03_8,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_8,True,,12,idle,,2,idle,,120,20,1.0,,
d_nikke_ce004_01_03_9,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_9,True,,12,idle,,2,idle,,20,20,1.0,,
d_nikke_ce004_01_03_10,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_10,True,,12,idle,,2,idle,,20,20,1.0,,
d_nikke_ce004_01_03_11,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_11,True,,12,idle,,2,idle,,20,20,1.0,,
d_nikke_ce004_01_03_12,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_12,True,,12,idle,,2,idle,,20,200,1.0,,
d_nikke_ce004_01_03_13,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_13,True,,12,idle,,2,idle,,200,200,1.0,,
d_nikke_ce004_01_03_14,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_14,True,,12,idle,,2,idle,,200,200,1.0,,
d_nikke_ce004_01_03_15,d_nikke_ce004_01_03,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_03_15,False,,12,idle,,2,idle,,200,1,1.0,,
d_nikke_ce004_01_03_16,d_nikke_ce004_01_03,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_03_16,False,,12,idle,,2,idle,,1,1,1.0,none,sfx_scn_bookpage
d_nikke_ce004_01_03_17,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_17,True,,12,think,,2,idle,,1,120,1.0,bgm_recognition_underworld,
d_nikke_ce004_01_03_18,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_18,True,,12,think,,2,idle,,120,120,1.0,,
d_nikke_ce004_01_03_19,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_19,True,,12,think,,2,idle,,120,120,1.0,,
d_nikke_ce004_01_03_20,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_20,True,,12,idle,,2,idle,,120,120,1.0,,
d_nikke_ce004_01_03_21,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_21,True,,12,idle,,2,idle,,120,120,1.0,,
d_nikke_ce004_01_03_22,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_22,False,,12,surprise,,2,idle,,120,1200,1.0,,
d_nikke_ce004_01_03_23,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_23,True,,12,surprise,,2,idle,,1200,1200,1.0,,
d_nikke_ce004_01_03_24,d_nikke_ce004_01_03,Speech,ce004_01_s,ce004_01_s,Locale_NikkeEpisode:d_nikke_ce004_01_03_24,True,,12,idle,,2,idle,,1200,1200,1.0,,
d_nikke_ce004_01_03_25,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_25,True,,12,idle,,2,idle,,1200,20,1.0,,
d_nikke_ce004_01_03_26,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_26,True,,12,idle,,2,idle,,20,20,1.0,,
d_nikke_ce004_01_03_27,d_nikke_ce004_01_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_03_27,True,,12,idle,,2,idle,,20,20,1.0,,
