id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,fade,jump_target
d_nikke_rapi_redhood_02_1,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_1,True,rapi_red,4,idle,miranda,2,idle,Park,2,S_20,1.0,bgm_story_luckybreak,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_2,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_2,True,,4,idle,,2,idle,,S_20,S_20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_3,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_3,True,,4,idle,,2,idle,,S_20,S_20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_4,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_4,True,,4,idle,,2,idle,,S_20,S_20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_5,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_5,True,,4,idle,,2,idle,,S_20,S_20,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_6,d_nikke_rapi_redhood_02,Self,rapi_red,,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_6,False,,4,idle,,2,idle,,S_20,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_7,d_nikke_rapi_redhood_02,Speech,rapi_red,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_7,True,,4,no,,2,idle,,40,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_8,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_8,True,,4,idle,,2,idle,,40,3,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_9,d_nikke_rapi_redhood_02,Self,miranda,,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_9,False,,4,idle,,2,idle,,3,3,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_10,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_10,True,,4,idle,,2,angry,,3,3,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_02_11,d_nikke_rapi_redhood_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_rapi_redhood_02_11,True,,4,idle,,2,angry,,3,3,1.0,,,,,,,,,,,,,,
