id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
d_nikke_sakura_bloominsummer_01_1,d_nikke_sakura_bloominsummer_01,Narration,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_1,False,CoralIslandInside_d,2,2,1.0,sfx_scn_wavebreak,bgm_story_voicesofthesea,,,,,,
d_nikke_sakura_bloominsummer_01_2,d_nikke_sakura_bloominsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_2,False,,2,20,1.0,,,,,,,,
d_nikke_sakura_bloominsummer_01_3,d_nikke_sakura_bloominsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_3,False,,20,20,1.0,,,,,,,,
d_nikke_sakura_bloominsummer_01_4,d_nikke_sakura_bloominsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_4,False,,20,20,1.0,,,,,,,,
d_nikke_sakura_bloominsummer_01_5,d_nikke_sakura_bloominsummer_01,Narration,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_5,False,,20,200,0.5,sfx_scn_ballonsand,,,,,,,
d_nikke_sakura_bloominsummer_01_6,d_nikke_sakura_bloominsummer_01,Narration,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_6,False,,200,200,1.0,sfx_scn_plantseed,,,,,,,
d_nikke_sakura_bloominsummer_01_7,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_7,False,,200,200,1.0,,,,,,,,
d_nikke_sakura_bloominsummer_01_8,d_nikke_sakura_bloominsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_8,False,,200,200,1.0,,,,,,,,
d_nikke_sakura_bloominsummer_01_9,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_9,False,,200,200,1.0,,,sakura_s,sakura_s,sakura_s,2,idle,
d_nikke_sakura_bloominsummer_01_10,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_10,False,,200,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_11,d_nikke_sakura_bloominsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_11,False,,20,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_12,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_12,False,,20,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_13,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_13,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_14,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_14,False,,20,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_15,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_15,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_16,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_16,False,,20,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_17,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_17,False,,20,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_18,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_18,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_19,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_19,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_20,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_20,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_21,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_21,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_22,d_nikke_sakura_bloominsummer_01,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_22,False,,20,20,1.0,,,sakura_s,,,2,idle,
d_nikke_sakura_bloominsummer_01_23,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_23,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
d_nikke_sakura_bloominsummer_01_24,d_nikke_sakura_bloominsummer_01,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_01_24,True,,20,20,1.0,,,sakura_s,sakura_s,,2,idle,
