id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_helm_02_1,d_nikke_helm_02,Speech,burningum,burningum,Locale_NikkeEpisode:d_nikke_helm_02_1,True,Restaurant,3,3,1.0,bgm_story_backtonormal,,,,,helm,1,idle,burningum,3,idle,,,,,,,,,
d_nikke_helm_02_2,d_nikke_helm_02,Speech,burningum,burningum,Locale_NikkeEpisode:d_nikke_helm_02_2,True,,3,3,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_3,d_nikke_helm_02,Speech,burningum,burningum,Locale_NikkeEpisode:d_nikke_helm_02_3,True,,3,3,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_4,d_nikke_helm_02,Narration,burningum,,Locale_NikkeEpisode:d_nikke_helm_02_4,False,,3,3,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_5,d_nikke_helm_02,Speech,burningum,burningum,Locale_NikkeEpisode:d_nikke_helm_02_5,True,,3,1,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_6,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_6,True,,1,1,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_7,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_7,True,,1,10,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_8,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_8,True,,10,10,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_9,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_9,True,,10,10,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_10,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_10,True,,10,10,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_11,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_11,True,,10,10,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_12,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_12,True,,10,100,2.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_13,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_13,True,,100,100,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_14,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_14,True,,100,100,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_15,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_15,True,,100,10,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_helm_02_16,d_nikke_helm_02,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_02_16,True,,10,1,1.0,,,,,,,1,idle,,3,idle,,,,,,,,,
