id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,set_filter_02,fade,set_filter_01,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_trony_01_1,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_1,False,Laboratory,black,black,1.0,none,,,,,,,,,,,,,,
d_nikke_trony_01_2,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_2,False,,black,black,1.0,,,,,,,,,,,,,,,
d_nikke_trony_01_3,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_3,False,,7,130,1.7,bgm_belowzero,trony,13,idle,,,,,,,,,,,
d_nikke_trony_01_4,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_4,False,,130,130,1.0,,,13,idle,sfx_scn_tablettapping2,,,,,,,,,,
d_nikke_trony_01_5,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_5,False,,130,130,1.0,,,13,idle,sfx_scn_tablettapping,,,,,,,,,,
d_nikke_trony_01_6,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_6,False,,130,130,1.0,,,13,idle,sfx_scn_tablettapping,,,,,,,,,,
d_nikke_trony_01_7,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_7,False,,130,130,1.0,,,13,idle,sfx_scn_tablettapping,,,,,,,,,,
d_nikke_trony_01_8,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_8,False,,130,130,1.0,,,13,idle,sfx_scn_tablettapping,,,,,,,,,,
d_nikke_trony_01_9,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_9,True,,130,130,1.0,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_10,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_10,True,,130,7,1.7,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_11,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_11,False,,7,7,1.0,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_12,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_12,True,,7,130,1.7,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_13,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_13,True,,130,130,1.0,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_14,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_14,True,,130,130,1.0,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_15,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_15,True,,130,130,1.0,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_16,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_16,False,NikkeRoom,4,4,1.0,none,,13,idle,sfx_scn_shootinggame,,,Blur_Middle,black,,,,,,
d_nikke_trony_01_17,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_17,True,,4,4,1.0,,,13,idle,,trony,trony,Blur_Middle,,,,,,,
d_nikke_trony_01_18,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_18,False,,4,4,1.0,,,13,idle,sfx_scn_shootinggame,,,Blur_High,,Vignetting,,,,,
d_nikke_trony_01_19,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_19,True,,black,black,1.0,,,13,idle,,trony,trony,Blur_High,,Vignetting,,,,,
d_nikke_trony_01_20,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_20,False,,13,1300,0.7,,,13,special,sfx_scn_bombjet,,,,,,Low_1,,,,
d_nikke_trony_01_21,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_21,True,,1300,1300,1.0,,,13,special,,trony,trony,,,,,,,,
d_nikke_trony_01_22,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_22,False,,1300,1300,1.0,,,13,special,sfx_scn_gameoverjingle,,,,,,,,,,
d_nikke_trony_01_23,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_23,True,,1300,12,1.0,bgm_story_orangepop,,13,special,,elegg,elegg,,,,,elegg,1,worry,
d_nikke_trony_01_24,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_24,True,,12,12,1.0,,,13,special,,trony,trony,,,,,,1,worry,
d_nikke_trony_01_25,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_25,True,,12,12,1.0,,,13,special,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_26,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_26,True,,12,12,1.0,,,13,sad,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_27,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_27,True,,12,12,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_28,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_28,True,,12,12,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_29,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_29,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_30,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_30,True,,12,12,1.0,,,13,sad,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_31,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_31,True,,12,12,1.0,,,13,no,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_32,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_32,True,,12,12,1.0,,,13,no,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_33,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_33,True,,12,12,1.0,,,13,no,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_34,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_34,True,,12,12,1.0,,,13,no,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_35,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_35,True,,12,12,1.0,,,13,no,,trony,trony,,,,,,1,delight,
d_nikke_trony_01_36,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_36,True,,12,S_100,0.7,,,13,no,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_37,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_37,True,,S_100,S_100,1.0,,,13,idle,,elegg,trony,,,,,,1,idle,
d_nikke_trony_01_38,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_38,True,,S_100,S_100,1.0,,,13,idle,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_39,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_39,True,,S_100,S_100,1.0,,,13,idle,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_40,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_40,True,,S_100,12,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_41,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_41,True,,12,12,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_42,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_42,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,surprise,
d_nikke_trony_01_43,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_43,True,,12,12,1.0,,,13,think,,trony,trony,,,,,,1,surprise,
d_nikke_trony_01_44,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_44,True,,12,12,1.0,,,13,sad,,trony,trony,,,,,,1,surprise,
d_nikke_trony_01_45,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_45,True,,12,12,1.0,,,13,sad,,elegg,elegg,,,,,,1,surprise,
d_nikke_trony_01_46,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_46,False,,black,black,1.0,,,13,sad,sfx_scn_phonevibration,,,,,,Low_1,,1,surprise,
d_nikke_trony_01_47,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_47,True,,S_10,S_10,1.0,,,13,sad,,elegg,elegg,,,,,,1,worry,
d_nikke_trony_01_48,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_48,True,,S_10,S_10,1.0,,,13,sad,,elegg,elegg,,,,,,1,pain,
d_nikke_trony_01_49,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_49,True,,S_10,12,1.0,,,13,sad,,trony,trony,,,,,,1,pain,
