id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_eleggboomandshock_04_1,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_1,True,Deck_d,1300,1300,1.0,bgm_story_backtonormal,elegg_s,1,idle,dorothy_s,13,idle,rapi_ss,3,delight
d_nikke_eleggboomandshock_04_2,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_2,True,,1300,1300,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_3,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_3,False,,1300,1300,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_4,d_nikke_eleggboomandshock_04,Speech,elegg_s,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_4,True,,1300,S_100,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_5,d_nikke_eleggboomandshock_04,Speech,elegg_s,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_5,True,,S_100,S_10,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_6,d_nikke_eleggboomandshock_04,Self,elegg_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_6,False,,S_10,S_10,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_7,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_7,True,,S_10,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_8,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_8,False,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_9,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_9,True,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_10,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_10,False,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_11,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_11,False,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_12,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_12,True,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_13,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_13,True,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_14,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_14,False,,130,130,1.0,,,1,idle,,13,think,,3,delight
d_nikke_eleggboomandshock_04_15,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_15,True,,130,130,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_16,d_nikke_eleggboomandshock_04,Speech,elegg_s,elegg_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_16,True,,130,S_10,1.0,,,1,idle,,13,idle,,3,delight
d_nikke_eleggboomandshock_04_17,d_nikke_eleggboomandshock_04,Speech,rapi_ss,rapi_ss,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_17,True,,S_10,31,1.0,,,1,idle,,13,idle,,3,think
d_nikke_eleggboomandshock_04_18,d_nikke_eleggboomandshock_04,Speech,rapi_ss,rapi_ss,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_18,True,,31,31,1.0,,,1,idle,,13,idle,,3,think
d_nikke_eleggboomandshock_04_19,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_19,True,,31,13,1.5,,,1,idle,,13,idle,,3,think
d_nikke_eleggboomandshock_04_20,d_nikke_eleggboomandshock_04,Speech,dorothy_s,dorothy_s,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_20,True,,13,13,1.0,,,1,idle,,13,idle,,3,think
d_nikke_eleggboomandshock_04_21,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_21,False,,13,13,1.0,,,1,idle,,13,idle,,3,think
d_nikke_eleggboomandshock_04_22,d_nikke_eleggboomandshock_04,Self,dorothy_s,,Locale_NikkeEpisode:d_nikke_eleggboomandshock_04_22,False,,13,13,1.0,,,1,idle,,13,idle,,3,think
