id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,set_camera_shake,characters/0/hide_char_id,conversation_id,fade
d_nikke_epinel_04_1,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_1,False,Park,15,1,1.0,bgm_story_sundayintheark,,,,,,,,,,
d_nikke_epinel_04_2,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_2,True,,1,1,1.0,,epinel,epinel,1,delight,,,,,,
d_nikke_epinel_04_3,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_3,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_4,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_4,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_5,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_5,True,,1,1,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_6,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_6,True,,1,1,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_7,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_7,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_8,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_8,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_9,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_9,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_10,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_10,False,,black,black,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_11,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_11,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_12,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_12,True,,1,13,1.0,,epinel,,13,idle,,,,,,
d_nikke_epinel_04_13,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_13,True,,13,13,1.0,,epinel,,13,idle,,,,,,
d_nikke_epinel_04_14,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_14,True,,13,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_15,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_15,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_16,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_16,False,,1,1,1.0,,epinel,,1,idle,d_nikke_epinel_04_18,,,,,
d_nikke_epinel_04_17,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_17,False,,1,1,1.0,,epinel,,1,idle,d_nikke_epinel_04_23,,,,,
d_nikke_epinel_04_18,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_18,False,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_19,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_19,False,,1,5,2.0,,epinel,,1,idle,,sfx_scn_skateboarding,,,,
d_nikke_epinel_04_20,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_20,False,,5,5,1.0,,epinel,,1,idle,,sfx_scn_trip,Low_2,,,
d_nikke_epinel_04_21,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_21,True,,5,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_22,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_22,True,,1,1,1.0,,epinel,,1,think,d_nikke_epinel_04_24,,,,,
d_nikke_epinel_04_23,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_23,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_24,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_24,True,,1,1,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_25,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_25,False,,1,1,1.0,,epinel,,1,pain,d_nikke_epinel_04_27,,,,,
d_nikke_epinel_04_26,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_26,False,,1,1,1.0,,epinel,,1,pain,d_nikke_epinel_04_30,,,,,
d_nikke_epinel_04_27,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_27,True,,1,1,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_28,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_28,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_29,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_29,True,,1,1,1.0,,epinel,,1,think,d_nikke_epinel_04_32,,,,,
d_nikke_epinel_04_30,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_30,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_31,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_31,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_32,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_32,False,,black,black,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_33,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_33,False,,5,5,1.0,,epinel,,1,think,,sfx_scn_trip,Low_2,,,
d_nikke_epinel_04_34,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_34,True,,5,1,0.5,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_35,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_35,True,,1,1,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_36,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_36,True,,1,1,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_37,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_37,False,,1,1,1.0,,epinel,,1,pain,d_nikke_epinel_04_39,,,,,
d_nikke_epinel_04_38,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_38,False,,1,1,1.0,,epinel,,1,pain,d_nikke_epinel_04_39,,,,,
d_nikke_epinel_04_39,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_39,False,,1,XS_10,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_40,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_40,True,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_41,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_41,True,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_42,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_42,True,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_43,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_43,False,Park_n,black,black,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_44,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_44,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_45,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_45,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_46,d_nikke_epinel_04,Self,Self,Locale_NikkeEpisode:d_nikke_epinel_04_46,False,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_47,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_47,True,,1,1,1.0,,epinel,,1,idle,,,,,,
