id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/1/hide_char_id,characters/0/hide_char_id,conversation_id
d_nikke_epinel_01_1,d_nikke_epinel_01,Narration,Locale_NikkeEpisode:d_nikke_epinel_01_1,False,City,5,1,1.5,bgm_story_epicjazzymoods,,,,,,,,,,,,,,,,,,
d_nikke_epinel_01_2,d_nikke_epinel_01,Narration,Locale_NikkeEpisode:d_nikke_epinel_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_epinel_01_3,d_nikke_epinel_01,Narration,Locale_NikkeEpisode:d_nikke_epinel_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_epinel_01_4,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_4,True,,1,100,0.5,,audience,audience,Low_2,,,,,,,,,,,,,,,
d_nikke_epinel_01_5,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_5,True,,100,400,0.5,,audience,audience,,,,,,,,,,,,,,,,
d_nikke_epinel_01_6,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_6,True,,400,40,0.5,,audience,audience,,,,,,,,,,,,,,,,
d_nikke_epinel_01_7,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_7,True,,40,1,1.0,,youngwoman,mc,,rumani,14,idle,youngwoman,1,idle,,,,,,,,,
d_nikke_epinel_01_8,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_8,True,,1,14,1.0,,rumani,rumani,,,14,idle,,1,idle,,,,,,,,,
d_nikke_epinel_01_9,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_9,True,,14,14,1.0,,rumani,rumani,,,14,idle,,1,idle,youngwoman,,,,,,,,
d_nikke_epinel_01_10,d_nikke_epinel_01,Self,Locale_NikkeEpisode:d_nikke_epinel_01_10,False,,14,14,1.0,,rumani,,,,14,idle,,,,,,,,,,,,
d_nikke_epinel_01_11,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_11,True,,14,L_140,1.0,,rumani,rumani,,,14,idle,,,,,,,,,,,,
d_nikke_epinel_01_12,d_nikke_epinel_01,Speech,Locale_NikkeEpisode:d_nikke_epinel_01_12,True,,L_140,L_140,1.0,,rumani,rumani,,,14,idle,,,,,,,,,,,,
