id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_nikke_ce_003_01_01_1,d_nikke_ce_003_01_01,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_ce_003_01_01_1,True,ce_003_01,1,idle,soda,13,idle,MaidCafe,1,12,1.0,bgm_story_girlstalk,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_2,d_nikke_ce_003_01_01,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_ce_003_01_01_2,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_3,d_nikke_ce_003_01_01,Speech,ce_003_01,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_01_3,True,,1,"expression_0,idle",,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_4,d_nikke_ce_003_01_01,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_ce_003_01_01_4,True,,1,idle,,13,shy,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_5,d_nikke_ce_003_01_01,Narration,soda,,Locale_NikkeEpisode:d_nikke_ce_003_01_01_5,False,,1,idle,,13,idle,,12,12,1.0,,sfx_scn_condiment,black,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_6,d_nikke_ce_003_01_01,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_ce_003_01_01_6,True,,1,idle,,13,sad,,12,S_130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_7,d_nikke_ce_003_01_01,Speech,soda,soda,Locale_NikkeEpisode:d_nikke_ce_003_01_01_7,True,,1,idle,,13,sad,,S_130,S_130,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_8,d_nikke_ce_003_01_01,Speech,ce_003_01,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_01_8,True,,1,surprise,,13,sad,,S_130,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_9,d_nikke_ce_003_01_01,Speech,ce_003_01,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_01_9,True,,1,idle,,13,sad,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_01_01_10,d_nikke_ce_003_01_01,Speech,ce_003_01,ce_003_01,Locale_NikkeEpisode:d_nikke_ce_003_01_01_10,True,,1,idle,,13,sad,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
