id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake,fade
d_nikke_rapunzel_04_1,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_1,True,rapunzel,1,no,RuinIndoor,1,1,2.0,bgm_distress,,,,,,,,,,,,
d_nikke_rapunzel_04_2,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_2,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_3,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_3,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_4,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_4,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_5,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_5,True,,1,no,Desert_02,1,1,1.0,,rapunzel,snowwhite,1,idle,Grey,,,,,,,
d_nikke_rapunzel_04_6,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_6,True,,,,,1,3,2.0,,,,1,idle,Grey,hongryeon,3,idle,,,,
d_nikke_rapunzel_04_7,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_7,True,,,,,3,30,2.0,,,,1,idle,Grey,,3,idle,snowwhite,,,
d_nikke_rapunzel_04_8,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_8,True,,,,White,30,30,1.0,,,,,,Grey,,3,idle,,,,
d_nikke_rapunzel_04_9,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_9,True,,,,,30,1,1.0,,,,,,Grey,,3,idle,,hongryeon,,
d_nikke_rapunzel_04_10,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_10,False,rapunzel,1,no,RuinIndoor,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_11,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_11,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_12,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_12,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_13,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_13,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_14,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_14,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_15,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_15,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_16,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_16,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_17,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_17,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_18,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_18,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_19,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_19,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_20,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_20,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_21,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_21,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
