id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_mori_04_1,d_nikke_mori_04,Self,Locale_NikkeEpisode:d_nikke_mori_04_1,False,SimulationRoom,13,130,1.0,bgm_story_cottoncandy,,,,,mori,1,idle,,anis,13,worry,,rapi,15,idle,,neon,17,idle,
d_nikke_mori_04_2,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_2,True,,130,130,1.0,,anis,anis,,,,1,idle,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_3,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_3,True,,130,150,1.0,,rapi,rapi,,,,1,idle,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_4,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_4,True,,150,S_170,1.0,,neon,neon,,,,1,idle,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_5,d_nikke_mori_04,Self,Locale_NikkeEpisode:d_nikke_mori_04_5,False,,S_10,S_10,1.0,,mori,,,,,1,idle,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_6,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_6,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_7,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_7,True,,130,130,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_8,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_8,True,,S_170,S_170,1.0,,neon,neon,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_9,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_9,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_10,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_10,True,,S_10,130,1.0,,anis,anis,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_11,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_11,True,,130,130,1.0,,anis,anis,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_12,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_12,True,,S_170,S_170,1.0,,neon,neon,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_13,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_13,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_14,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_14,True,,S_10,113,1.0,,anis,anis,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_15,d_nikke_mori_04,Self,Locale_NikkeEpisode:d_nikke_mori_04_15,False,,113,113,1.0,,anis,,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_16,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_16,True,,113,15,1.0,,rapi,rapi,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_17,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_17,True,,15,15,1.0,,rapi,rapi,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_18,d_nikke_mori_04,Monologue,Locale_NikkeEpisode:d_nikke_mori_04_18,False,,black,black,1.0,,rapi,,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_19,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_19,True,,1300,1300,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_20,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_20,True,,1300,1300,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_21,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_21,True,,1300,130,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_22,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_22,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_23,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_23,True,,150,150,1.0,,rapi,rapi,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_24,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_24,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_25,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_25,True,,150,150,1.0,,rapi,rapi,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_26,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_26,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_27,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_27,True,,S_170,S_170,1.0,,neon,neon,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_28,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_28,True,,130,130,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_29,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_29,True,,150,150,1.0,,rapi,rapi,,,,1,think,,,13,worry,,,15,think,,,17,idle,
d_nikke_mori_04_30,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_30,True,,130,130,1.0,,anis,anis,,,,1,think,,,13,idle,,,15,think,,,17,idle,
d_nikke_mori_04_31,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_31,True,,S_170,S_1700,0.5,,neon,neon,,,,1,think,,,13,idle,,,15,think,,,17,idle,
d_nikke_mori_04_32,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_32,True,,1300,1300,1.0,,anis,anis,,,,1,think,,,13,angry,,,15,idle,,,17,idle,
d_nikke_mori_04_33,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_33,True,,S_1700,S_1700,1.0,,neon,neon,,,,1,think,,,13,angry,,,15,idle,,,17,idle,
d_nikke_mori_04_34,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_34,True,,S_100,S_100,1.0,,mori,mori,,,,1,think,,,13,angry,,,15,idle,,,17,idle,
d_nikke_mori_04_35,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_35,True,,S_100,S_10,1.0,,mori,mori,,,,1,think,,,13,angry,,,15,idle,,,17,idle,
d_nikke_mori_04_36,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_36,True,,S_10,130,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_37,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_37,True,,S_170,S_170,1.0,,neon,neon,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_38,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_38,True,,S_170,150,1.0,,rapi,rapi,,,,1,think,,,13,worry,,,15,think,,,17,idle,
d_nikke_mori_04_39,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_39,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,think,,,17,idle,
d_nikke_mori_04_40,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_40,True,,150,150,1.0,,rapi,rapi,,,,1,think,,,13,worry,,,15,think,,,17,idle,
d_nikke_mori_04_41,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_41,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_42,d_nikke_mori_04,Narration,Locale_NikkeEpisode:d_nikke_mori_04_42,False,,black,black,1.0,,,,black,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_43,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_43,True,,1500,150,1.0,,rapi,rapi,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_44,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_44,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,idle,,,15,idle,,,17,idle,
d_nikke_mori_04_45,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_45,True,,S_10,130,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_46,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_46,True,,130,130,1.0,,anis,anis,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_47,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_47,True,,S_170,S_170,1.0,,neon,neon,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
d_nikke_mori_04_48,d_nikke_mori_04,Speech,Locale_NikkeEpisode:d_nikke_mori_04_48,True,,S_10,S_10,1.0,,mori,mori,,,,1,think,,,13,worry,,,15,idle,,,17,idle,
