id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_rapi_redhood_04_1,d_nikke_rapi_redhood_04,Self,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_1,False,rapi_red,4,idle,Restaurant,4,40,1.3,bgm_story_flipflop,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_2,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_2,True,,4,delight,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_3,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_3,True,,4,delight,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_4,d_nikke_rapi_redhood_04,Self,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_4,False,,4,delight,,40,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_5,d_nikke_rapi_redhood_04,Monologue,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_5,False,,4,delight,,40,400,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_6,d_nikke_rapi_redhood_04,Narration,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_6,False,,4,delight,,400,400,1.0,,,sfx_scn_grab,,,,,,,,,,,
d_nikke_rapi_redhood_04_7,d_nikke_rapi_redhood_04,Monologue,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_7,False,,4,delight,,400,400,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_8,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_8,True,,4,shy,,400,40,1.3,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_9,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_9,False,,4,shy,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_10,d_nikke_rapi_redhood_04,Self,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_10,False,,4,shy,,40,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_11,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_11,True,,4,idle,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_12,d_nikke_rapi_redhood_04,Self,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_12,False,,4,idle,,40,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_13,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_13,True,,4,delight,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_14,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_14,True,,4,delight,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_15,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_15,True,,4,delight,,40,40,1.0,,rapi_red,,,,,,,,,,,,
d_nikke_rapi_redhood_04_16,d_nikke_rapi_redhood_04,Self,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_16,False,,4,delight,,40,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_17,d_nikke_rapi_redhood_04,Self,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_17,False,,4,delight,,40,40,1.0,,,,,,,,,,,,,,
d_nikke_rapi_redhood_04_18,d_nikke_rapi_redhood_04,Speech,rapi_red,Locale_NikkeEpisode:d_nikke_rapi_redhood_04_18,True,,4,delight,,40,40,1.0,,rapi_red,,,,,,,,,,,,
