id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound
d_nikke_tove_04_1,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_1,True,tove,3,sad,IceLand_04,S_30,S_30,1.0,bgm_story_whosdumber,,,,,,,,,,,,,
d_nikke_tove_04_2,d_nikke_tove_04,Self,tove,,Locale_NikkeEpisode:d_nikke_tove_04_2,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_3,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_3,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_4,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_4,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_5,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_5,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_6,d_nikke_tove_04,Choice,tove,,Locale_NikkeEpisode:d_nikke_tove_04_6,True,,3,sad,,S_30,S_30,1.0,,d_nikke_tove_04_8,,,,,,,,,,,,
d_nikke_tove_04_7,d_nikke_tove_04,Choice,tove,,Locale_NikkeEpisode:d_nikke_tove_04_7,True,,3,sad,,S_30,S_30,1.0,,d_nikke_tove_04_10,,,,,,,,,,,,
d_nikke_tove_04_8,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_8,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_9,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_9,True,,3,sad,,S_30,S_30,1.0,,d_nikke_tove_04_13,,,,,,,,,,,,
d_nikke_tove_04_10,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_10,True,,3,surprise,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_11,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_11,True,,3,surprise,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_12,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_12,True,,3,sad,,S_30,S_30,1.0,,d_nikke_tove_04_13,,,,,,,,,,,,
d_nikke_tove_04_13,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_13,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_14,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_14,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_15,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_15,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_16,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_16,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_17,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_17,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_18,d_nikke_tove_04,Self,tove,,Locale_NikkeEpisode:d_nikke_tove_04_18,True,,3,sad,,S_30,S_30,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_19,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_19,True,,3,no,,S_30,S_300,0.5,none,,,,,,,,,,,,,
d_nikke_tove_04_20,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_20,True,,3,sad,,S_300,S_300,1.0,,,,,,,,,,,,,,
d_nikke_tove_04_21,d_nikke_tove_04,Speech,tove,tove,Locale_NikkeEpisode:d_nikke_tove_04_21,True,,3,think,,S_300,S_300,1.0,bgm_frostpillar,,,,,,,,,,,,,
