id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/1/hide_char_id
treasurestory_miranda_01_1,treasurestory_miranda_01,Narration,Locale_NikkeEpisode:treasurestory_miranda_01_1,False,ArkRuinIndoor,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,
treasurestory_miranda_01_2,treasurestory_miranda_01,Narration,Locale_NikkeEpisode:treasurestory_miranda_01_2,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_miranda_01_3,treasurestory_miranda_01,Narration,Locale_NikkeEpisode:treasurestory_miranda_01_3,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_miranda_01_4,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_4,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_5,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_5,True,,1,1,1.0,,novelshadow,,,,,,,,,,,
treasurestory_miranda_01_6,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_6,True,,1,10,1.3,,quiryshadow,,,,,,,,,,,
treasurestory_miranda_01_7,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_7,True,,10,10,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_8,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_8,True,,10,10,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_9,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_9,True,,10,10,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_10,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_10,True,,10,10,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_11,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_11,True,,10,10,1.0,,quiryshadow,,,,,,,,,,,
treasurestory_miranda_01_12,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_12,True,,10,10,1.0,,quiryshadow,,,,,,,,,,,
treasurestory_miranda_01_13,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_13,True,,10,1,1.3,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_14,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_14,True,,1,1,1.0,,quiryshadow,,,,,,,,,,,
treasurestory_miranda_01_15,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_15,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_16,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_16,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_17,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_17,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_18,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_18,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_19,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_19,True,,1,1,1.0,,quiryshadow,,,,,,,,,,,
treasurestory_miranda_01_20,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_20,True,,1,1,1.0,,novelshadow,,,,,,,,,,,
treasurestory_miranda_01_21,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_21,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_22,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_22,True,,1,1,1.0,,polishadow,,,,,,,,,,,
treasurestory_miranda_01_23,treasurestory_miranda_01,Monologue,Locale_NikkeEpisode:treasurestory_miranda_01_23,False,CommanderRoom,black,black,1.0,none,,black,,,,,,,,,,
treasurestory_miranda_01_24,treasurestory_miranda_01,Monologue,Locale_NikkeEpisode:treasurestory_miranda_01_24,False,,1,1,1.0,,,,poli,poli,2,idle,miranda,12,idle,,,
treasurestory_miranda_01_25,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_25,True,,1,1,1.0,bgm_story_girlstalk,poli,,poli,,2,idle,,12,idle,,,
treasurestory_miranda_01_26,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_26,True,,1,1,1.0,,miranda,,miranda,,2,idle,,12,idle,,,
treasurestory_miranda_01_27,treasurestory_miranda_01,Choice,Locale_NikkeEpisode:treasurestory_miranda_01_27,False,,1,1,1.0,,,,miranda,,2,idle,,12,idle,treasurestory_miranda_01_32,,
treasurestory_miranda_01_28,treasurestory_miranda_01,Choice,Locale_NikkeEpisode:treasurestory_miranda_01_28,False,,1,1,1.0,,,,miranda,,2,idle,,12,idle,treasurestory_miranda_01_29,,
treasurestory_miranda_01_29,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_29,True,,1,1,1.0,,poli,,poli,,2,surprise,,12,idle,,,
treasurestory_miranda_01_30,treasurestory_miranda_01,Self,Locale_NikkeEpisode:treasurestory_miranda_01_30,False,,1,1,1.0,,,,poli,,2,surprise,,12,idle,,,
treasurestory_miranda_01_31,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_31,True,,1,1,1.0,,poli,,poli,,2,idle,,12,idle,treasurestory_miranda_01_32,,
treasurestory_miranda_01_32,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_32,True,,1,1,1.0,,poli,,poli,,2,idle,,12,idle,,,
treasurestory_miranda_01_33,treasurestory_miranda_01,Self,Locale_NikkeEpisode:treasurestory_miranda_01_33,False,,1,1,1.0,,,,poli,,2,idle,,12,idle,,,
treasurestory_miranda_01_34,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_34,True,,1,S_120,1.3,,miranda,,miranda,,2,idle,,12,idle,,,
treasurestory_miranda_01_35,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_35,True,,S_120,S_120,1.0,,miranda,,miranda,,2,idle,,12,idle,,,
treasurestory_miranda_01_36,treasurestory_miranda_01,Self,Locale_NikkeEpisode:treasurestory_miranda_01_36,False,,S_120,S_120,1.0,,,,miranda,,2,idle,,12,idle,,,
treasurestory_miranda_01_37,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_37,True,,S_120,S_120,1.0,,miranda,,miranda,,2,idle,,12,delight,,,
treasurestory_miranda_01_38,treasurestory_miranda_01,Speech,Locale_NikkeEpisode:treasurestory_miranda_01_38,True,,S_120,1,1.3,,poli,,poli,,2,idle,,12,delight,,,
