id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker
d_nikke_ce006_02_02_1,d_nikke_ce006_02_02,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_1,False,com,12,idle,Desert_03,black,black,1.0,sfx_scn_hugestonelift,bgm_chapter38_field_goldentree,,,,
d_nikke_ce006_02_02_2,d_nikke_ce006_02_02,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_2,False,,12,idle,,black,black,1.0,,,ce006_02,6,no,
d_nikke_ce006_02_02_3,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_3,False,,12,idle,,60,60,1.0,,,,6,no,ce006_02
d_nikke_ce006_02_02_4,d_nikke_ce006_02_02,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_4,False,,12,idle,,12,120,1.3,sfx_scn_movingrobot,,,6,no,
d_nikke_ce006_02_02_5,d_nikke_ce006_02_02,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_5,False,,12,idle,,120,120,1.0,,,,6,no,
d_nikke_ce006_02_02_6,d_nikke_ce006_02_02,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_6,False,,12,idle,,black,black,1.0,sfx_scn_fragment,,,2,no,
d_nikke_ce006_02_02_7,d_nikke_ce006_02_02,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_7,False,,12,idle,,black,black,1.0,,,,2,no,
d_nikke_ce006_02_02_8,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_8,False,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_9,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_9,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_10,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_10,False,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_11,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_11,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_12,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_12,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_13,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_13,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_14,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_14,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_15,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_15,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_16,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_16,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_17,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_17,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_18,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_18,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_19,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_19,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_20,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_20,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_21,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_21,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_22,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_22,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_23,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_23,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_24,d_nikke_ce006_02_02,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_02_24,True,,12,idle,,1,1,1.0,,,,2,no,ce006_02
d_nikke_ce006_02_02_25,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_25,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_26,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_26,True,,12,idle,,1,1,1.0,,,,2,no,com
d_nikke_ce006_02_02_27,d_nikke_ce006_02_02,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_02_27,True,,12,idle,,1,1,1.0,,,,2,no,com
