id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_nikke_julia_05_1,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_1,False,CommanderRoom,3,1,1.0,bgm_story_leisuretime,,,,,,,,,,
d_nikke_julia_05_2,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_2,False,,1,1,1.0,,,,,,,,,,,
d_nikke_julia_05_3,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_3,False,,1,1,1.0,,,,,,,,,,,
d_nikke_julia_05_4,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_4,False,,1,1,1.0,,,,,,,,,,,
d_nikke_julia_05_5,d_nikke_julia_05,Narration,Locale_NikkeEpisode:d_nikke_julia_05_5,False,,1,1,1.0,,sfx_scn_phonevibration,,,,,,,,,
d_nikke_julia_05_6,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_6,False,,1,1,1.0,,,m_nikke_julia_05,,,,,,,,
d_nikke_julia_05_7,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_7,False,,1,1,1.0,none,,,,,,,,,,
d_nikke_julia_05_8,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_8,False,none,1,1,1.0,,,,,,,,,,,
d_nikke_julia_05_9,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_9,False,WasteLand_02_n,1,S_10,0.5,,,,black,,,,,,,
d_nikke_julia_05_10,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_10,False,,S_10,S_10,1.0,bgm_story_shapeofhope,,,,julia,julia,julia,1,surprise,,
d_nikke_julia_05_11,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_11,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_12,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_12,True,,S_10,S_10,1.0,,,,,julia,julia,,1,idle,,
d_nikke_julia_05_13,d_nikke_julia_05,Choice,Locale_NikkeEpisode:d_nikke_julia_05_13,False,,S_10,S_10,1.0,,,,,julia,,,1,idle,d_nikke_julia_05_15,
d_nikke_julia_05_14,d_nikke_julia_05,Choice,Locale_NikkeEpisode:d_nikke_julia_05_14,False,,S_10,S_10,1.0,,,,,julia,,,1,idle,d_nikke_julia_05_20,
d_nikke_julia_05_15,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_15,True,,S_10,S_100,2.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_16,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_16,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_17,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_17,False,,S_100,S_100,1.0,,,,,julia,,,1,delight,,
d_nikke_julia_05_18,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_18,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_19,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_19,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,d_nikke_julia_05_25,
d_nikke_julia_05_20,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_20,True,,S_10,S_100,0.5,,,,,julia,julia,,1,surprise,,
d_nikke_julia_05_21,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_21,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,,
