id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/hide_char_id,characters/1/hide_char_id
d_nikke_brid_03_1,d_nikke_brid_03,Monologue,brid,Locale_NikkeEpisode:d_nikke_brid_03_1,False,Police,black,black,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,
d_nikke_brid_03_2,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_2,True,,L_10,L_10,1.0,,brid,brid,1,idle,,,,,,,,,,,
d_nikke_brid_03_3,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_3,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_4,d_nikke_brid_03,Self,brid,Locale_NikkeEpisode:d_nikke_brid_03_4,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_5,d_nikke_brid_03,Narration,brid,Locale_NikkeEpisode:d_nikke_brid_03_5,False,,L_10,L_100,2.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_6,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_6,True,,L_100,L_100,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_7,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_7,True,,L_100,L_100,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_8,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_8,True,,L_100,L_10,0.5,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_9,d_nikke_brid_03,Monologue,brid,Locale_NikkeEpisode:d_nikke_brid_03_9,False,Station_n,black,black,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_10,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_10,True,,3,1,2.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_11,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_11,True,,1,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_12,d_nikke_brid_03,Monologue,brid,Locale_NikkeEpisode:d_nikke_brid_03_12,False,,black,black,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_13,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_13,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_14,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_14,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_15,d_nikke_brid_03,Self,brid,Locale_NikkeEpisode:d_nikke_brid_03_15,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_16,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_16,False,,L_10,L_100,0.5,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_17,d_nikke_brid_03,Monologue,brid,Locale_NikkeEpisode:d_nikke_brid_03_17,False,,black,black,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_18,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_18,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_19,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_19,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_20,d_nikke_brid_03,Self,brid,Locale_NikkeEpisode:d_nikke_brid_03_20,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_21,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_21,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_22,d_nikke_brid_03,Self,brid,Locale_NikkeEpisode:d_nikke_brid_03_22,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_23,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_23,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_24,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_24,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_25,d_nikke_brid_03,Self,brid,Locale_NikkeEpisode:d_nikke_brid_03_25,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_26,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_26,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_27,d_nikke_brid_03,Monologue,brid,Locale_NikkeEpisode:d_nikke_brid_03_27,False,,black,black,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_28,d_nikke_brid_03,Monologue,brid,Locale_NikkeEpisode:d_nikke_brid_03_28,False,,1,L_10,2.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_29,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_29,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_30,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_30,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_31,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_31,True,,L_10,L_10,1.0,,brid,,1,idle,,,,,,,,,,,
d_nikke_brid_03_32,d_nikke_brid_03,Self,brid,Locale_NikkeEpisode:d_nikke_brid_03_32,False,,L_10,L_10,1.0,,,,1,idle,,,,,,,,,,,
d_nikke_brid_03_33,d_nikke_brid_03,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_03_33,True,,L_10,L_10,1.0,,brid,,1,angry,,,,,,,,,,,
