id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
treasurestory_poli_02_1,treasurestory_poli_02,Monologue,quiry,Locale_NikkeEpisode:treasurestory_poli_02_1,False,CommanderRoom,1,1,1.0,none,none,,,,,,,,,,,
treasurestory_poli_02_2,treasurestory_poli_02,Monologue,quiry,Locale_NikkeEpisode:treasurestory_poli_02_2,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_poli_02_3,treasurestory_poli_02,Narration,quiry,Locale_NikkeEpisode:treasurestory_poli_02_3,False,,1,1,1.0,sfx_scn_autodooropen,bgm_story_herecomestrouble,,,,,,,,,,,
treasurestory_poli_02_4,treasurestory_poli_02,Narration,quiry,Locale_NikkeEpisode:treasurestory_poli_02_4,False,,1,1,1.0,sfx_scn_run,,,,,,,,,,,,
treasurestory_poli_02_5,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_5,True,,1,S_20,0.7,,,quiry,quiry,2,surprise,Low_2,,,,,,
treasurestory_poli_02_6,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_6,True,,S_20,S_120,0.7,,,miranda,,2,surprise,Low_2,miranda,12,shy,,,
treasurestory_poli_02_7,treasurestory_poli_02,Self,miranda,Locale_NikkeEpisode:treasurestory_poli_02_7,False,,S_120,S_120,1.0,,,,,2,surprise,,,12,shy,,,
treasurestory_poli_02_8,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_8,True,,S_120,1,1.3,,,quiry,,2,surprise,,,12,shy,,,
treasurestory_poli_02_9,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_9,True,,1,1,1.0,,,miranda,,2,surprise,,,12,shy,,,
treasurestory_poli_02_10,treasurestory_poli_02,Self,miranda,Locale_NikkeEpisode:treasurestory_poli_02_10,False,,1,1,1.0,,,,,2,surprise,,,12,shy,,,
treasurestory_poli_02_11,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_11,True,,1,1,1.0,,,quiry,,2,surprise,,,12,shy,,,
treasurestory_poli_02_12,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_12,True,,1,1,1.0,,,miranda,,2,surprise,,,12,shy,,,
treasurestory_poli_02_13,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_13,True,,1,1,1.0,,,miranda,,2,surprise,,,12,shy,,,
treasurestory_poli_02_14,treasurestory_poli_02,Self,miranda,Locale_NikkeEpisode:treasurestory_poli_02_14,False,,1,1,1.0,,,,,2,surprise,,,12,shy,,,
treasurestory_poli_02_15,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_15,True,,1,1,1.0,,,quiry,,2,sad,,,12,shy,,,
treasurestory_poli_02_16,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_16,True,,1,1,1.0,,,quiry,,2,sad,,,12,shy,,,
treasurestory_poli_02_17,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_17,True,,1,1,1.0,,,quiry,,2,sad,,,12,shy,,,
treasurestory_poli_02_18,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_18,True,,1,1,1.0,,,miranda,,2,sad,,,12,think,,,
treasurestory_poli_02_19,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_19,True,,1,1,1.0,,,miranda,,2,sad,,,12,think,,,
treasurestory_poli_02_20,treasurestory_poli_02,Self,miranda,Locale_NikkeEpisode:treasurestory_poli_02_20,False,,1,1,1.0,,,,,2,sad,,,12,think,,,
