id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,speaker,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_biscuit_02_1,d_nikke_biscuit_02,Monologue,Locale_NikkeEpisode:d_nikke_biscuit_02_1,False,LivingRoom,17,17,1.0,none,,,,,,biscuit,1,idle,,,
d_nikke_biscuit_02_2,d_nikke_biscuit_02,Monologue,Locale_NikkeEpisode:d_nikke_biscuit_02_2,False,,17,17,1.0,,,,,,,,1,idle,,,
d_nikke_biscuit_02_3,d_nikke_biscuit_02,Narration,Locale_NikkeEpisode:d_nikke_biscuit_02_3,False,,XS_10,XS_10,1.0,bgm_story_orangepop,biscuit,sfx_scn_rustle,,,,,1,idle,,,
d_nikke_biscuit_02_4,d_nikke_biscuit_02,Self,Locale_NikkeEpisode:d_nikke_biscuit_02_4,False,,XS_10,XS_10,1.0,,biscuit,,,,,,1,idle,,,
d_nikke_biscuit_02_5,d_nikke_biscuit_02,Speech,Locale_NikkeEpisode:d_nikke_biscuit_02_5,True,,XS_10,XS_10,1.0,,biscuit,,biscuit,,,,1,idle,,,
d_nikke_biscuit_02_6,d_nikke_biscuit_02,Self,Locale_NikkeEpisode:d_nikke_biscuit_02_6,False,,XS_10,XS_10,1.0,,biscuit,,,,,,1,idle,,,
d_nikke_biscuit_02_7,d_nikke_biscuit_02,Speech,Locale_NikkeEpisode:d_nikke_biscuit_02_7,True,,XS_10,XS_10,1.0,,biscuit,,biscuit,,,,1,idle,,,
d_nikke_biscuit_02_8,d_nikke_biscuit_02,Speech,Locale_NikkeEpisode:d_nikke_biscuit_02_8,True,,XS_10,XS_10,1.0,,biscuit,,biscuit,,,,1,delight,,,
d_nikke_biscuit_02_9,d_nikke_biscuit_02,Speech,Locale_NikkeEpisode:d_nikke_biscuit_02_9,True,,XS_10,XS_10,1.0,,biscuit,,biscuit,,,,1,delight,,,
d_nikke_biscuit_02_10,d_nikke_biscuit_02,Self,Locale_NikkeEpisode:d_nikke_biscuit_02_10,False,,XS_10,XS_10,1.0,,biscuit,,,,,,1,delight,,,
d_nikke_biscuit_02_11,d_nikke_biscuit_02,Speech,Locale_NikkeEpisode:d_nikke_biscuit_02_11,True,,XS_10,XS_10,1.0,,biscuit,,biscuit,,,,1,delight,,,
d_nikke_biscuit_02_12,d_nikke_biscuit_02,Speech,Locale_NikkeEpisode:d_nikke_biscuit_02_12,True,,XS_10,XS_100,1.5,,biscuit,,biscuit,,,,1,idle,,,
