id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_ce006_03_05_1,d_nikke_ce006_03_05,Narration,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_1,False,artcity_d,black,black,1.0,sfx_scn_tyrantcry,none,,ce006_npc_01,3,idle,ce006_03,1,idle,,elegg,13,idle,
d_nikke_ce006_03_05_2,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_2,True,,2,2,1.0,,bgm_chapter32_field_advance,ce006_03,,3,idle,,1,idle,,,13,idle,
d_nikke_ce006_03_05_3,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_3,True,,2,2,1.0,,,ce006_03,,3,idle,,1,idle,,,13,idle,
d_nikke_ce006_03_05_4,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_4,True,,2,2,1.0,,,ce006_03,,3,idle,,1,idle,,,13,idle,
d_nikke_ce006_03_05_5,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_5,True,,2,2,1.0,,,ce006_03,,3,idle,,1,delight,,,13,idle,
d_nikke_ce006_03_05_6,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_6,True,,2,2,1.0,,,ce006_03,,3,idle,,1,idle,,,13,idle,
d_nikke_ce006_03_05_7,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_7,True,,2,2,1.0,,,ce006_npc_01,,3,idle,,1,idle,,,13,idle,
d_nikke_ce006_03_05_8,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_8,True,,2,12,1.3,,,elegg,,3,idle,,1,idle,,,13,idle,
d_nikke_ce006_03_05_9,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_9,True,,12,12,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_10,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_10,True,,12,12,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_11,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_11,True,,12,12,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_12,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_12,True,,12,12,1.0,,,elegg,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_13,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_13,True,,12,12,1.0,,,elegg,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_14,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_14,True,,12,12,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_15,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_15,True,,12,12,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
