id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,set_camera_shake,play_sound
d_nikke_guillotine_05_1,d_nikke_guillotine_05,Speech,newsanchor,newsanchor,Locale_NikkeEpisode:d_nikke_guillotine_05_1,True,CommanderRoom,15,1,1.0,none,,,,,,,,,,,,
d_nikke_guillotine_05_2,d_nikke_guillotine_05,Speech,newsanchor,newsanchor,Locale_NikkeEpisode:d_nikke_guillotine_05_2,True,,1,1,1.0,,,,,,,,,,,,,
d_nikke_guillotine_05_3,d_nikke_guillotine_05,Speech,newsanchor,newsanchor,Locale_NikkeEpisode:d_nikke_guillotine_05_3,True,City,1,1,1.0,,Grey,,,,,,,,,,,
d_nikke_guillotine_05_4,d_nikke_guillotine_05,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_guillotine_05_4,True,,1,1,1.0,,Grey,adultman,1,idle,,,,,,,,
d_nikke_guillotine_05_5,d_nikke_guillotine_05,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_guillotine_05_5,True,,1,1,1.0,,Grey,,1,idle,,,,,,,,
d_nikke_guillotine_05_6,d_nikke_guillotine_05,Speech,newsanchor,newsanchor,Locale_NikkeEpisode:d_nikke_guillotine_05_6,True,,1,1,1.0,,Grey,,1,idle,adultman,,,,,,,
d_nikke_guillotine_05_7,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_7,True,CommanderRoom,1,1,1.0,bgm_story_darklord,,,,,,guillotine,1,delight,,,,
d_nikke_guillotine_05_8,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_8,True,,1,1,1.0,,,,,,,,1,delight,,,,
d_nikke_guillotine_05_9,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_9,True,,1,1,1.0,,,,,,,,1,delight,,,,
d_nikke_guillotine_05_10,d_nikke_guillotine_05,Self,guillotine,,Locale_NikkeEpisode:d_nikke_guillotine_05_10,False,,1,1,1.0,,,,,,,,1,delight,,,,
d_nikke_guillotine_05_11,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_11,True,,1,1,1.0,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_12,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_12,True,,1,1,1.0,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_13,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_13,True,,1,1,1.0,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_14,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_14,True,,1,1,1.0,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_15,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_15,True,,1,1,1.0,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_16,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_16,True,,1,1,1.0,,,,,,,,1,angry,,,,
d_nikke_guillotine_05_17,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_17,True,,1,1,1.0,,,,,,,,1,angry,,,,
d_nikke_guillotine_05_18,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_18,True,,1,S_10,0.5,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_19,d_nikke_guillotine_05,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_05_19,False,,S_10,S_10,1.0,,,,,,,,1,idle,,,,
d_nikke_guillotine_05_20,d_nikke_guillotine_05,Narration,guillotine,,Locale_NikkeEpisode:d_nikke_guillotine_05_20,False,,S_10,S_10,1.0,,,,,,,,1,no,,,,
d_nikke_guillotine_05_21,d_nikke_guillotine_05,Narration,guillotine,,Locale_NikkeEpisode:d_nikke_guillotine_05_21,False,,S_10,S_10,1.0,,,,,,,,1,no,,,,
