id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,jump_target,characters/0/hide_char_id,play_sound,fade,characters/1/hide_char_id,set_camera_shake
d_nikke_anchor_04_1,d_nikke_anchor_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_anchor_04_1,False,BuildingLobby,5,1,2.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,
d_nikke_anchor_04_2,d_nikke_anchor_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_anchor_04_2,False,,1,1,1.0,,ingrid,2,idle,anchor,12,idle,,,,,,,
d_nikke_anchor_04_3,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_3,True,,1,1,1.0,,,2,idle,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_4,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_4,True,,1,1,1.0,,,2,idle,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_5,d_nikke_anchor_04,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_04_5,False,,1,1,1.0,,,2,idle,,12,idle,,,,,,,
d_nikke_anchor_04_6,d_nikke_anchor_04,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_04_6,False,,1,1,1.0,,,2,idle,,12,idle,,,,,,,
d_nikke_anchor_04_7,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_7,False,,1,L_20,2.0,,,2,think,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_8,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_8,True,,L_20,L_20,1.0,,,2,think,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_9,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_9,True,,L_20,L_20,1.0,,,2,idle,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_10,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_10,True,,L_20,L_20,1.0,,,2,idle,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_11,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_11,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_12,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_12,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_13,d_nikke_anchor_04,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_04_13,False,,L_20,L_20,1.0,,,2,angry,,12,idle,,,,,,,
d_nikke_anchor_04_14,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_14,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_15,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_15,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_16,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_16,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_17,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_17,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_18,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_18,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_19,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_19,True,,L_20,L_20,1.0,,,2,angry,,12,idle,ingrid,,,,,,
d_nikke_anchor_04_20,d_nikke_anchor_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_anchor_04_20,True,,L_20,S_120,1.0,,,2,idle,,12,sad,anchor,,,,,,
d_nikke_anchor_04_21,d_nikke_anchor_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_anchor_04_21,True,,S_120,S_120,1.0,,,2,idle,,12,sad,anchor,,,,,,
d_nikke_anchor_04_22,d_nikke_anchor_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_anchor_04_22,True,,S_120,S_120,1.0,,,2,idle,,12,sad,anchor,,,,,,
d_nikke_anchor_04_23,d_nikke_anchor_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_anchor_04_23,True,,S_120,S_120,1.0,,,2,idle,,12,sad,anchor,,,,,,
d_nikke_anchor_04_24,d_nikke_anchor_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_anchor_04_24,True,,S_120,S_120,1.0,,,2,idle,,12,sad,ingrid,,,,,,
d_nikke_anchor_04_25,d_nikke_anchor_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_anchor_04_25,True,,S_120,S_120,1.0,,,2,idle,,12,idle,anchor,,,,,,
d_nikke_anchor_04_26,d_nikke_anchor_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_anchor_04_26,True,,S_120,S_120,1.0,,,2,idle,,12,idle,anchor,,,,,,
