id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/1/hide_char_id,play_sound,characters/0/hide_char_id,set_filter_01
d_nikke_mica_05_1,d_nikke_mica_05,Monologue,Locale_NikkeEpisode:d_nikke_mica_05_1,False,CommanderRoom,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,
d_nikke_mica_05_2,d_nikke_mica_05,Monologue,Locale_NikkeEpisode:d_nikke_mica_05_2,False,,black,black,1.0,,mica,1,idle,belorta,13,idle,,,,,,
d_nikke_mica_05_3,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_3,True,,XS_10,XS_10,1.0,,,1,idle,,13,idle,mica,mica,,,,
d_nikke_mica_05_4,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_4,True,,XS_10,XS_10,1.0,,,1,idle,,13,idle,mica,mica,,,,
d_nikke_mica_05_5,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_5,True,,XS_10,113,0.5,,,1,idle,,13,angry,belorta,belorta,,,,
d_nikke_mica_05_6,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_6,True,,113,113,1.0,,,1,idle,,13,angry,mica,mica,,,,
d_nikke_mica_05_7,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_7,True,,113,113,1.0,,,1,idle,,13,angry,mica,mica,,,,
d_nikke_mica_05_8,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_8,True,,113,113,1.0,,,1,idle,,13,angry,belorta,belorta,,,,
d_nikke_mica_05_9,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_9,True,,113,113,1.0,,,1,idle,,13,angry,mica,mica,,,,
d_nikke_mica_05_10,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_10,True,,113,113,1.0,,,1,idle,,13,idle,belorta,belorta,,,,
d_nikke_mica_05_11,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_11,True,,113,113,1.0,,,1,idle,,13,idle,belorta,belorta,,,,
d_nikke_mica_05_12,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_12,True,,113,113,1.0,,,1,idle,,13,idle,mica,mica,,,,
d_nikke_mica_05_13,d_nikke_mica_05,Self,Locale_NikkeEpisode:d_nikke_mica_05_13,False,,113,113,0.5,,,1,idle,,13,idle,,,,,,
d_nikke_mica_05_14,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_14,False,,113,XS_130,0.5,,,1,idle,,13,idle,belorta,belorta,,,,
d_nikke_mica_05_15,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_15,True,,XS_10,XS_10,1.0,,,1,idle,,13,idle,mica,mica,,,,
d_nikke_mica_05_16,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_16,True,,XS_130,XS_130,1.0,,,1,idle,,13,angry,belorta,belorta,,,,
d_nikke_mica_05_17,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_17,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,belorta,belorta,,,,
d_nikke_mica_05_18,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_18,True,,XS_130,113,1.0,,,1,idle,,13,idle,mica,mica,,,,
d_nikke_mica_05_19,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_19,True,,113,113,1.0,,,1,idle,,13,idle,belorta,belorta,,,,
d_nikke_mica_05_20,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_20,True,,113,113,1.0,,,1,idle,,13,idle,mica,mica,,,,
d_nikke_mica_05_21,d_nikke_mica_05,Speech,Locale_NikkeEpisode:d_nikke_mica_05_21,True,,113,113,1.0,,,1,idle,,13,idle,belorta,belorta,,,,
