id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,fade,characters/0/hide_char_id,set_object,set_object_position
treasurestory_julia_06_1,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_1,False,Theater,black,black,1.0,none,,,,,,,,,
treasurestory_julia_06_2,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_2,False,,1,1,1.0,,,,,,,,,,
treasurestory_julia_06_3,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_3,False,,1,1,1.0,,,,,,,,,,
treasurestory_julia_06_4,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_4,False,,1,S_10,1.3,,julia,1,think,,,,,,
treasurestory_julia_06_5,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_5,False,,S_10,S_10,1.0,,,1,think,,,,,,
treasurestory_julia_06_6,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_6,True,,S_10,S_10,1.0,bgm_frostpillar,,1,delight,julia,,,,,
treasurestory_julia_06_7,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_7,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_8,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_8,False,,S_10,S_10,1.0,,,1,delight,,,,,,
treasurestory_julia_06_9,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_9,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_10,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_10,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_11,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_11,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
