id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_anis_sparklingsummer_04_1,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_1,True,RuinIndoor,1,1,1.0,bgm_story_fairytalesend_if,,,,anis_s,1,worry
d_nikke_anis_sparklingsummer_04_2,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_2,True,,1,1,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_3,d_nikke_anis_sparklingsummer_04,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_3,False,,1,1,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_4,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_4,True,,1,1,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_5,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_5,True,,1,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_6,d_nikke_anis_sparklingsummer_04,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_6,False,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_7,d_nikke_anis_sparklingsummer_04,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_7,False,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_8,d_nikke_anis_sparklingsummer_04,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_8,False,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_9,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_9,True,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_10,d_nikke_anis_sparklingsummer_04,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_10,False,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_11,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_11,True,,XS_10,XS_10,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_12,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_12,True,,XS_10,XS_10,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_13,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_13,True,,XS_10,XS_10,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_14,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_14,False,,XS_10,1,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_15,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_15,True,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_16,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_16,True,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_17,d_nikke_anis_sparklingsummer_04,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_17,False,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_18,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_18,True,,1,1,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_19,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_19,True,,1,1,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_04_20,d_nikke_anis_sparklingsummer_04,Choice,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_20,False,,1,1,1.0,,d_nikke_anis_sparklingsummer_04_22,,,,1,worry
d_nikke_anis_sparklingsummer_04_21,d_nikke_anis_sparklingsummer_04,Choice,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_21,False,,1,1,1.0,,d_nikke_anis_sparklingsummer_04_22,,,,1,worry
d_nikke_anis_sparklingsummer_04_22,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_22,False,,1,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_23,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_23,True,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_04_24,d_nikke_anis_sparklingsummer_04,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_04_24,True,,XS_10,XS_10,1.0,,,,,,1,idle
