id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,jump_target,play_sound,fade
d_nikke_guilty_02_1,d_nikke_guilty_02,Narration,Locale_NikkeEpisode:d_nikke_guilty_02_1,False,CommanderRoom,5,1,2.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,
d_nikke_guilty_02_2,d_nikke_guilty_02,Monologue,Locale_NikkeEpisode:d_nikke_guilty_02_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_guilty_02_3,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_3,True,,1,10,1.0,,rapi,rapi,rapi,1,idle,anis,13,void,neon,15,idle,,,,,,,
d_nikke_guilty_02_4,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_4,True,,10,130,2.0,,anis,anis,,1,idle,,13,void,,15,idle,,,,,,,
d_nikke_guilty_02_5,d_nikke_guilty_02,Self,Locale_NikkeEpisode:d_nikke_guilty_02_5,False,,130,130,1.0,,anis,,,1,idle,,13,void,,15,idle,,,,,,,
d_nikke_guilty_02_6,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_6,True,,130,S_150,1.0,,neon,neon,,1,idle,,13,void,,15,idle,,,,,,,
d_nikke_guilty_02_7,d_nikke_guilty_02,Self,Locale_NikkeEpisode:d_nikke_guilty_02_7,False,,S_150,S_150,1.0,,neon,,,1,idle,,13,void,,15,idle,,,,,,,
d_nikke_guilty_02_8,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_8,True,,S_150,14,1.0,,anis,anis,,1,idle,,13,void,,15,idle,,,,,,,
d_nikke_guilty_02_9,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_9,True,,14,14,1.0,,neon,neon,,1,idle,,13,void,,15,surprise,,,,,,,
d_nikke_guilty_02_10,d_nikke_guilty_02,Self,Locale_NikkeEpisode:d_nikke_guilty_02_10,False,,14,14,1.0,,neon,,,1,idle,,13,void,,15,idle,,,,,,,
d_nikke_guilty_02_11,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_11,True,,14,14,1.0,,neon,neon,,1,idle,,13,void,,15,worry,,,,,,,
d_nikke_guilty_02_12,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_12,True,,14,10,2.0,,rapi,rapi,,1,idle,,13,void,,15,worry,,,,,,,
d_nikke_guilty_02_13,d_nikke_guilty_02,Speech,Locale_NikkeEpisode:d_nikke_guilty_02_13,True,,130,1300,0.5,,anis,anis,,1,idle,,13,angry,,15,idle,,,,,,,
d_nikke_guilty_02_14,d_nikke_guilty_02,Self,Locale_NikkeEpisode:d_nikke_guilty_02_14,False,,1300,1300,1.0,,anis,,,1,idle,,13,angry,,15,idle,,,,,,,
