id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/hide_char_id,fade,play_sound
d_nikke_signal_04_1,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_1,True,none,black,black,1.0,none,,,,,,,,
d_nikke_signal_04_2,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_2,True,,black,black,1.0,,1,idle,,,,,,
d_nikke_signal_04_3,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_3,True,Corridor,10,10,1.0,bgm_story_sunshinesorrow,1,idle,rosaline,rosaline,rosaline,,,
d_nikke_signal_04_4,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_4,True,,10,10,1.0,,1,idle,rosaline,rosaline,,,,
d_nikke_signal_04_5,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_5,True,none,black,black,1.0,,1,idle,orlando,orlando,,rosaline,,
d_nikke_signal_04_6,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_6,True,NikkeRoom,XS_10,XS_10,1.0,,1,idle,signal,signal,signal,,,
d_nikke_signal_04_7,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_7,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_8,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_8,False,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_9,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_9,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_10,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_10,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_11,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_11,True,,XS_10,XS_100,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_12,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_12,True,,XS_100,XS_100,1.0,,1,sad,signal,signal,,,,
d_nikke_signal_04_13,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_13,False,,XS_100,XS_100,1.0,,1,sad,signal,signal,,,,
d_nikke_signal_04_14,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_14,True,,XS_100,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_15,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_15,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
