id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
treasurestory_helm_05_1,treasurestory_helm_05,Narration,helm,Locale_NikkeEpisode:treasurestory_helm_05_1,False,IceLand_n,black,black,1.0,sfx_scn_walkonsnow,bgm_frostpillar,,,,,,helm,1,idle,,,,,,,,
treasurestory_helm_05_2,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_2,False,,black,black,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_3,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_3,False,,black,black,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_4,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_4,True,,1,1,1.0,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_5,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_5,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_6,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_6,True,,1,1,1.0,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_7,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_7,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_8,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_8,False,,1,1,1.0,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_9,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_9,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_10,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_10,True,,1,10,1.3,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_11,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_11,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_12,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_12,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_13,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_13,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_14,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_14,False,,10,10,1.0,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_15,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_15,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_16,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_16,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_17,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_17,True,,10,10,1.0,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_18,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_18,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_19,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_19,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_20,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_20,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_21,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_21,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_22,treasurestory_helm_05,Self,helm,Locale_NikkeEpisode:treasurestory_helm_05_22,False,,10,10,1.0,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_23,treasurestory_helm_05,Monologue,helm,Locale_NikkeEpisode:treasurestory_helm_05_23,False,,10,100,1.3,,,,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_24,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_24,False,,100,100,1.0,,,helm,,,,,,1,idle,,,,,,,,
treasurestory_helm_05_25,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_25,True,,100,100,1.0,,,helm,,,,,,1,delight,,,,,,,,
treasurestory_helm_05_26,treasurestory_helm_05,Choice,helm,Locale_NikkeEpisode:treasurestory_helm_05_26,False,,100,100,1.0,,,,treasurestory_helm_05_28,,,,,1,delight,,,,,,,,
treasurestory_helm_05_27,treasurestory_helm_05,Choice,helm,Locale_NikkeEpisode:treasurestory_helm_05_27,False,,100,100,1.0,,,,treasurestory_helm_05_28,,,,,1,delight,,,,,,,,
treasurestory_helm_05_28,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_28,True,,100,10,1.3,,,helm,,,,,,1,delight,,,,,,,,
treasurestory_helm_05_29,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_29,True,,10,10,1.0,,,helm,,,,,,1,delight,,,,,,,,
treasurestory_helm_05_30,treasurestory_helm_05,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_05_30,True,NikkeRoom,black,black,1.0,,,helm,,Grey,Vignetting,black,,1,idle,mast,13,angry,,anchor,15,idle,
