id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_belorta_03_1,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_1,True,Park,3,XS_30,1.0,bgm_story_leisuretime,,,,mica,3,idle,,,,,
d_nikke_belorta_03_2,d_nikke_belorta_03,Self,,,Locale_NikkeEpisode:d_nikke_belorta_03_2,False,,XS_30,XS_30,1.0,,,,,,3,idle,,,,,
d_nikke_belorta_03_3,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_3,True,,XS_30,XS_30,1.0,,,,,,3,worry,,,,,
d_nikke_belorta_03_4,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_4,True,,XS_30,XS_30,1.0,,,,,,3,worry,,,,,
d_nikke_belorta_03_5,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_5,True,,XS_30,XS_30,1.0,,,,,,3,worry,,,,,
d_nikke_belorta_03_6,d_nikke_belorta_03,Self,,,Locale_NikkeEpisode:d_nikke_belorta_03_6,False,,XS_30,XS_30,1.0,,,,,,3,worry,,,,,
d_nikke_belorta_03_7,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_7,True,,XS_30,XS_300,0.5,,,,,,3,idle,,,,,
d_nikke_belorta_03_8,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_8,True,,XS_300,XS_300,1.0,,,,,,3,idle,,,,,
d_nikke_belorta_03_9,d_nikke_belorta_03,Self,,,Locale_NikkeEpisode:d_nikke_belorta_03_9,False,,XS_300,XS_300,1.0,,,,,,3,idle,,,,,
d_nikke_belorta_03_10,d_nikke_belorta_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_belorta_03_10,True,,XS_300,XS_300,1.0,,,,,,3,worry,,,,,
