id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,set_filter_02,speaker,characters/0/hide_char_id,fade,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_trina_02_1,d_nikke_trina_02,Monologue,Locale_NikkeEpisode:d_nikke_trina_02_1,False,GoddessOfVictory,XS_20,XS_20,1.0,bgm_story_orangepop,,,,,,,,,,,,,,
d_nikke_trina_02_2,d_nikke_trina_02,Monologue,Locale_NikkeEpisode:d_nikke_trina_02_2,False,,XS_20,XS_20,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_3,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_3,False,Police,black,black,1.0,,poli,poli,2,idle,Vignetting,Grey,,,,,,,,
d_nikke_trina_02_4,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_4,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_5,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_5,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_6,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_6,False,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,,,,,,,,
d_nikke_trina_02_7,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_7,True,,XS_20,XS_200,1.3,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_8,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_8,True,,XS_200,XS_200,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_9,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_9,True,,XS_200,XS_200,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_10,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_10,False,,XS_200,XS_200,1.0,,poli,,2,idle,Vignetting,Grey,,,,,,,,
d_nikke_trina_02_11,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_11,True,,XS_200,XS_20,1.3,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_12,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_12,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_13,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_13,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_14,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_14,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_15,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_15,False,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,,,,,,,,
d_nikke_trina_02_16,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_16,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_17,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_17,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_18,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_18,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_19,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_19,True,,XS_20,XS_20,1.0,,poli,,2,idle,Vignetting,Grey,poli,,,,,,,
d_nikke_trina_02_20,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_20,False,GoddessOfVictory,15,15,1.0,none,,,2,idle,,,,poli,black,,,,,
d_nikke_trina_02_21,d_nikke_trina_02,Monologue,Locale_NikkeEpisode:d_nikke_trina_02_21,False,,15,15,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_22,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_22,False,,15,15,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_23,d_nikke_trina_02,Narration,Locale_NikkeEpisode:d_nikke_trina_02_23,False,,black,black,1.0,,,,,,,,,,,sfx_scn_heavydoordrag,,,,
d_nikke_trina_02_24,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_24,False,,black,black,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_25,d_nikke_trina_02,Monologue,Locale_NikkeEpisode:d_nikke_trina_02_25,False,Arboretum,black,black,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_26,d_nikke_trina_02,Narration,Locale_NikkeEpisode:d_nikke_trina_02_26,False,,2,2,1.0,event_bgm_secretgarden,,,,,,,,,,sfx_scn_bamboowind,,,,
d_nikke_trina_02_27,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_27,False,,2,2,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_28,d_nikke_trina_02,Monologue,Locale_NikkeEpisode:d_nikke_trina_02_28,False,,2,2,1.0,,,,,,,,,,,,,,,
d_nikke_trina_02_29,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_29,True,,2,2,1.0,,,,,,,,trina,,,,,,,
d_nikke_trina_02_30,d_nikke_trina_02,Narration,Locale_NikkeEpisode:d_nikke_trina_02_30,False,,2,2,1.0,,,,,,,,,,,sfx_scn_scissors,,,,
d_nikke_trina_02_31,d_nikke_trina_02,Narration,Locale_NikkeEpisode:d_nikke_trina_02_31,False,,2,2,1.0,,trina,,,,,,,,,,trina,15,idle,
d_nikke_trina_02_32,d_nikke_trina_02,Monologue,Locale_NikkeEpisode:d_nikke_trina_02_32,False,,2,15,2.0,,trina,,,,,,,,,,,15,idle,
d_nikke_trina_02_33,d_nikke_trina_02,Speech,Locale_NikkeEpisode:d_nikke_trina_02_33,True,,15,15,1.0,,trina,,,,,,trina,,,,,15,idle,
d_nikke_trina_02_34,d_nikke_trina_02,Narration,Locale_NikkeEpisode:d_nikke_trina_02_34,False,,15,15,1.0,,trina,,,,,,,,,sfx_scn_scissors,,15,idle,
d_nikke_trina_02_35,d_nikke_trina_02,Self,Locale_NikkeEpisode:d_nikke_trina_02_35,False,,15,15,1.0,,trina,,,,,,,,,,,15,idle,
