id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_helm_aquamarine_03_1,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_1,False,LogHouseOut_n,1,1,1.0,bgm_story_milkyway,,,,helm_s,1,surprise,
d_nikke_helm_aquamarine_03_2,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_2,True,,1,1,1.0,,,,,,1,surprise,
d_nikke_helm_aquamarine_03_3,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_3,True,,1,1,1.0,,,,,,1,surprise,
d_nikke_helm_aquamarine_03_4,d_nikke_helm_aquamarine_03,Self,,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_4,False,,1,1,1.0,,,,,,1,surprise,
d_nikke_helm_aquamarine_03_5,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_5,True,,1,1,2.0,,,,,,1,idle,
d_nikke_helm_aquamarine_03_6,d_nikke_helm_aquamarine_03,Self,,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_6,False,,1,1,1.0,,,,,,1,idle,
d_nikke_helm_aquamarine_03_7,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_7,True,,1,1,1.0,,,,,,1,think,
d_nikke_helm_aquamarine_03_8,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_8,True,,1,1,1.0,,,,,,1,think,
d_nikke_helm_aquamarine_03_9,d_nikke_helm_aquamarine_03,Speech,helm_s,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_9,True,,1,1,1.0,,,,,,1,idle,
d_nikke_helm_aquamarine_03_10,d_nikke_helm_aquamarine_03,Self,,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_03_10,False,,1,1,1.0,,,,,,1,idle,
